cluster	tablet	objectId	signs
1	148504	P001063	A AB~a AN BU~a DI DIM~b DU E2~b EN~a GAL~a GAR GI6 GISZIMMAR~b1 KAB KASZ~b KI KISAL~b1 KU6~a LAGAR~a MAR~a ME~a MU MUSZ3~a NAGA~a NAM2 NE~a NIMGIR NUN~a PAP~a PA~a PIRIG~b1 RAD~a RU SAL SANGA~a SIG7 SZA SZITA~a1 SZU SZU2 SZU@g SZUBUR TE TUR TUR3~a U4 UB UKKIN~a URI URI3~a ZAG~a ZATU628~a ZATU647 ZATU651 ZATU659 ZATU737 ZATU752 ZATU753 ZATU762~b
1	148813	P002195	AB~a AN BALAG BU~a DARA4~a1 DI DIN DU6~a DUB~a DUG~a E2~a E2~b EN~a ERIN EZEN~b GAL~a GAR GA~a GI GIR3~a GISZ GU4 GUG2 GURUSZ~a KALAM~a KASZ~a KASZ~b KISAL~b1 KU6~a MU NA2~a NESAG2~a NIMGIR NIM~a NIR~a NUN~a PA~a PIRIG~b1 SAG SANGA~a SA~c SI SIG2~a2 SUG5 SUHUR SZEN~e SZU SZU2~a SZURUPPAK~b TAK4~a TE TI@r TUR UKKIN~a UMBIN~a UR2 URI URUDU~a URU~a1 USZ~a ZAG~a ZAR~c ZATU623 ZATU647 ZATU686~a ZATU730 ZATU737 ZATU753 ZATU776 ZATU781
1	149500	P004880	A AB2 AB~a AB~b AL AMA~a AN ARARMA2~b BA BAD~a BAN~a BIR3~a BU~a DU E2~a EN~a ERIM~a EZEN~b GA~a GI6 GIBIL GISZ3~b GUL HI IB~a IR~a KAB KALAM~a KASKAL KASZ~c KI KISAL~b1 KU6~a MASZ ME~a MUSZ3~a MUSZEN NA2~a NAM2 NA~a NINDA2 NUNUZ~c NUN~a PAP~a SAL SANGA~a SAR~a SI SIG SIG2~b SIG7 SUG5 SZA SZA3~a2 SZENNUR~b SZEN~b SZESZ~a SZE~a SZU SZU2 SZUBUR TAK4~a TAR TAR~a TE TI TUG2~a@g U2~b U4 UD5~a UDU~a UKKIN~a UNUG~a URI3~a ZATU651 ZATU651@g ZATU679 ZATU749~a ZATU753 ZI~a
1	150657	P006268	A AB~a AD~a AL AMAR AN BAD~a BAHAR2~a BARA3 BU~a DAR~a DAR~b DA~a DIM~a DU DU6~a DUR2 E2~a EN~a EZEN~b EZINU~a GA2~a1 GAL~a GESZTU~b GI GIR3@g~c GIR3~c GIR~a GISZ GU GU4 GUL HAL HI IN~b KASZ~c KI KID~e KUR~a MAH~b MASZ ME~a MUN~a1 MUSZ3~a MUSZEN NAM2 NA~a NE~a NIN NI~a NU NU11@t NUNUZ~c NUN~a PAP~a PA~a SAG SAL SI SIG7 SUKUD@g~d SU~a SZA3~a1 SZE~a SZITA@g~a SZU SZU2 SZU2~a SZUBUR SZUR2~b TAK4~a TAR TE TI TUN3~a TUR TUR3~a U2~b U4 U8 UDU~a UR~a ZATU659 ZATU773~a ZI~a
1	151724	P003655	A AB~a AB~b AL AMA~a AN BA BAD3~b2 DA~a DI DU DUG~a DUG~b E2~a EN~a ERIM~a EZEN~b GA2~a2 GAL~a GAN~c GARA2~a GA~a GI GIBIL GISZ GU GU4 GU7 HAL HI IB~a KI KISAL~b1 LA2 MAR~a MEN~a ME~a MUSZ3~a NA2~a NAGAR~b NAMESZDA NE~a NIN NI~a NUNUZ~a1 NUN~a PAD~a PAP~a PIRIG~b1 SAL SANGA~a SILA3~a SUG5 SUKKAL SU~a SZA SZE~a SZIM~a SZITA~a1 SZU TAK4~a U2~a U4 URI3~a ZATU647 ZATU651 ZATU686~a ZATU751~a ZATU753
1	152065	P005573	A AL AMA~a AN BARA2~a BARA3 BU~a DARA3~c DA~a DIM~a DIN DU DU6~a E2~a EN~a ERIM~a ESZDA EZINU~a GA2~a1 GI GI6 GIR3@g~b GIR3~c GISZ GU GUL HI KAL~b2 KAR2 KASZ~c KI KISZIK~a KITI KU6~a LA2 LAL2~a LAM~b MA ME~a MUD MUN~a1 MUSZEN NA~a NIMGIR NIM~b1 NIM~b2 NI~a NUNUZ~a0 PAP~a PIRIG~b1 RAD~a SAL SI SUM~b SU~a SZU SZU2 SZU2~a SZUBUR TAK4~a TA~c TE TUR TUR3~a TU~a U2~b U4 U8 UB UDU~a URI3~a UR~a ZATU735~a ZATU773~a ZATU819
1	152087	P006048	A AB~a AN APIN~b BA BAN~b BU3 BU~a DU DU7 DUR2 E2~a EN~a GA2~a1 GI GI4~a GISZ GISZ3~b GU KALAM~a KASKAL KASZ~c KU3~a KU6~a MAH~a ME~a MU MUN~a1 MUSZEN NA~a NIMGIR NU NUNUZ~c NUN~a PAP~a PA~a RAD~a RU SAG SI SIG SILA3~a SZA3~a1 SZAGAN SZU SZU2 SZU2~a SZUBUR TAK4~a TE TUG2~a TUR U2~b U8 UR~a ZATU659 ZATU686~b ZATU697~c ZATU773~a
1	152093	P006054	A AB2 AB~a AMAR AN BA BAHAR2~b BAR BU~a DARA3~c DI DIM~a DIN DU DUG~a E2~b EN2 EN~a ERIM~a GAN2 GA~a GI GI4~a GIR3~c GISZ3~a HAL HI IDIGNA IM~a KAL~b2 KASKAL KASZ~c KA~a KI KU6~a KU~b1 MASZ MES ME~a MU MUN~a1 NAR NIMGIR NU PAP~a PA~a PIRIG~b1 RAD~a RU SAG SAL SANGA~a SI SZA SZA3~a1 SZAGAN SZE~a SZIDIM SZU SZUBUR SZUR2~b TAK4~a TAR TE TI@t TUR3~a U4 U8 UDU~a UR URI3~a URU~a1 UR~a USZ~a ZATU628~a ZATU659 ZATU686~b ZATU703 ZATU795 ZATU826
1	152095	P006056	AB2 AB~a ALAN~c AN BA BAHAR2~b BAR BU~a DA~a DIM~a DIN DU@g DUB~a E2~a E2~b EN~a GAL~a GI4~a GIR3~c GISZ GISZIMMAR~b1 GU4 GURUSZ~a HI HI@g~a HI@g~b IB~a KI KISAL~b1 KITI KU6~a KUR~a LA2 MUSZ3~a MUSZEN NA~a NE~a NIMGIR NIM~b1 NUNUZ~a1@t NUNUZ~c PAP~a RAD~a RAD~a@g RU SAL SANGA~a SI SIG2~b SUKKAL SU~a SZA3~a1 SZE3 SZU SZU2 SZU2~a SZUBUR SZUR2~b TA~c TE TI TUR TUR3~a UNUG~a UR~a USZ~a ZATU628~a ZATU647 ZATU687 ZATU751~a ZATU825
1	152104	P006065	A AN BAR BU~a DU E2~b EN2 EN~a EZEN~b GA2~a1 GAN2 GIR3~c HI IM~a ISZ~b KASKAL KI KISAL~b1 KU6~a ME~a MUN~a1 MUSZEN NAGA~a NAR NE~a NIGIN NU NUNUZ~a1 PAP~a PA~a PIRIG~b1 SAG SI SU~a SZA SZE~a SZU SZUBUR TI TUR U2~a U2~b UDU~a UNUG~a URU~a1 ZATU659 ZATU773~a ZATU795 ZATU811 ZATU832
1	152175	P006140	A ADAB AN BAR BU~a DANNA DARA4~c2 DAR~b DIM~a DIN DU E2~a E2~b EN~a ERIM~a ERIN E~b GAN2 GA~a GI GIR3~c GU HI IM~a IN~b ISZ~b KAL~b2 KASZ~c KU3~a KU6~a KU~b1 LA2 LAGAB~b MA MASZ MUSZEN NAM2 NAR NA~a NIMGIR NIM~b1 NI~a NUNUZ~a1 NUN~a PAP~a PA~a PIRIG~b1 RAD~a RU SAG SAL SANGA~a SIG7 SIG@g SUG5 SZA3~a1 SZE~a SZU SZU2 SZUBUR TAR~a TE TI U2~a U2~b UDU~a URI3~a UR~a ZATU659 ZATU697~c
1	152950	P003808	AB2 AB~a AB~a@g AB~b ADAB AL ALAN~b AMA~a AN ARARMA2~a BA BAD BAR BU~a DILMUN DIM~a DU DUG~a DUG~c E2~a EN~a EZEN~b GA2~a1 GAL~a GAN~c GARA2~a GA~a GESZTU~a GESZTU~b GI GIBIL GU GUL HI IB~a KAB KAR2~a KASZ~b KA~a KI KU3~a KU6~a KUR~a LA2 MEN~a MIR~b MUD MUSZ3~a MUSZEN NA2~a NAMESZDA NA~a NUNUZ~c NUN~a PAD~a PAP~a PA~a SAG SAL SANGA~a SI SIG2~b SIG7 SILA3~a SUG5 SUKKAL SZA SZAKIR~c SZE3 SZEN~a SZE~a SZITA~a1 SZU SZUBUR SZUR2~a TAK4~a TAR TUR U4 UB UDU~a UMUN2 UNUG~a URI5 UTUL~a ZATU651 ZATU651@g ZATU659 ZATU686~a ZATU686~b ZATU687 ZATU752 ZATU753 ZI~a
2	150824	P325064	DUB~a DUG~a DUG~c E2~a GA2~a1 GAR GIBIL GU7 HASZHUR HI@g~a KASZ~a MA MU NI~a RU SIG2~a2 SUHUR SU~a SZA SZU2 TUG2~b UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
2	152479	P005160	DUB~a DUG~a DUG~c E2~a GA2~a1 GAR GESZTU~c5 GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU NI~a RU SIG2~a3 SUHUR SU~a SZA SZU2 UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
2	152489	P005170	BAR DUB~a DUG~a E2~a EN~a GA2~a1 GAR GESZTU~c5 GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU SIG2~b SUHUR SU~a SZA SZU2 UDU~a ZATU644~a ZATU714 ZATU753
2	152493	P005174	AB~a DUG~a ENGIZ EN~a GA2~a1 GAR GESZTU~c5 GU7 HI@g~a KASZ~a KID~a MA MAR~a MU NI~a RU SZAGAN UDU~a ZATU714 ZATU735~b
2	152494	P005175	AB~a DU8~c DUB~a DUG~a E2~a GAR GIBIL GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MASZ ME~a MU MUSZEN NI~a RU SILA3~a SUHUR SU~a SZA SZA@g SZITA~a1 SZU2 UDU~a ZATU644~a ZATU714 ZATU753
2	152495	P005176	DUG~a DUG~b DUG~c GAR GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a MA ME~a MU NI~a RU SUHUR SU~a SZU2 UDU~a ZATU644~a ZATU714 ZATU753
2	152497	P005178	DUB~a DUG~a E2~a GA2~a1 GAR GESZTU~c5 GIBIL GU7 GUG2 HASZHUR HI@g~a KASZ~a LAGAB~a MA MU NI~a RU SUHUR SU~a SZA SZITA~a1 SZU2 UDU~a ZATU644~a ZATU714 ZATU735~b ZATU753
2	152520	P005202	DUB~a DUG~a DUG~c E2~a GIBIL GUG2 HI@g~a KASZ~a NI~a RU SU~a SZU2 ZATU714 ZATU753
2	152545	P005227	AB~a ENGIZ GA2~a1 GESZTU~c5 GIBIL HASZHUR MA ME~a NI~a RU SUHUR SU~a SZAGAN SZU2 UDU~a ZATU644~a ZATU735~b
2	152564	P005246	AB~a AMAR BAR DUG~a DUG~b EN~a GA~a GIBIL GU7 HASZHUR KASZ~c MA ME~a PA~a SUHUR SU~a SZU2 UDU~a ZATU644~a ZATU753
3	152655	P005340	DUB~a KU~b1 LAGAB~b SZAM2 SZE~a SZIM~a U4
3	152675	P005360	BA BULUG3 KALAM~b KI KINGAL MUSZEN NI~a PA~a SA~c SI4~f SZE~a SZURUPPAK~b
3	152684	P005369	A BA BU~a DAR~a DU EN~a KI KU~b2 MUSZEN NI~a SANGA~a SA~c SI4~f SZE3 SZE~a SZIM~a TUR
3	152686	P005371	AB~a BA BAD~a EN~a EN~c GAL~a GIBIL KINGAL KUR~a KU~b1 LAGAB~b NIR~a NI~a SAL SA~c SI4~f SUKKAL SZAM2 SZE~a SZIM~a TE U4 ZATU651
3	152687	P005372	BARA3 EN~c GAL~a KINGAL KUR~a KU~b1 NAM2 NIR~a NI~a SAL SA~c SI4~f SUKKAL SZE~a SZIM~a TE URU~a1 ZAG~a
3	152688	P005373	AB~a BA DA~a EN~a GAL~a GIBIL KU~b1 NI~a SA~c SI SI4~f SZE~a SZIM~a TE TUN3~a ZATU651
3	152689	P005374	E2~b EN~c GAL~a KINGAL KU~b2 NI~a SAL SA~c SI4~f SZE~a SZIM~a TE ZAG~a
3	152690	P005375	BA BARA3 EN~c GAL~a KINGAL KU~b2 NI~a SAL SA~c SI4~f SZE~a SZIM~a TE ZAG~a
3	152692	P005377	BU~a DUB~a KU~b1 NI~a SA~c SZAM2 SZE~a SZIM~a
4	149128	P003724	E2~a EN~a GAN~a GARA2~a IB~a KISIM~a KU~b1 LA2 SANGA~a SUG5 SZAKIR~c ZATU752 ZATU753
4	149165	P003812	GARA2~a IB~a KISIM~b KU3~a KU~b1 LA2 NI~b PAD~a PAP~a SANGA~a SUG5 SZAKIR~c U4 ZATU648 ZATU752
4	149364	P004720	AN BA DUG~c EN~a KI MAH~a NAGA~a PAD~a SUHUR SZU2 U2~a U4
4	151558	P003502	E2~a EN~a GAN~a GA~b GISZ@t IB~a KISIM~a KU~b1 LA2 NI~b PAD~a SANGA~a SUG5 SZA SZAKIR~c U4 ZATU648 ZATU752 ZATU753
4	151559	P003551	AN BA DU DUG~c EN~a GARA2~a GA~a KU3~a KU~b1 NAGA~a NIR~a NI~a PAD~a PAP~a SUG5 SZAKIR~c TUR3~a U4 ZABALAM~a ZATU752
4	152783	P005473	GA~a GI IB~a KU3~a LA2 PAD~a PAP~a SANGA~a SUG5 SZAKIR~c U4 ZATU752 ZATU753
4	152925	P003540	BA IB~a NI~a PAD~a SZAKIR~c U4 ZATU752 ZATU753
5	149858	P000577	BA DU IR~a KAR2~a MUSZ MUSZEN N NAGA~a NI2 SZA U2~b UR5~b ZI~a
5	150111	P000311	BA ERIM2 IM~a IR~a MUSZEN N NAGA~a NIMGIR SIG7 U2~b ZATU647
5	150114	P000433	ABZU AB~a AB~a@g AN BAHAR2~b BAPPIR~b BU~a DAR~a E2~a E2~b ERIM2 EZINU~d GIBIL6 GISZIMMAR~a2 I IR~a KITI MUSZEN N NESAG2~b NE~a NI2 NINLIL NUNUZ~a1 NUN~a SI TILLA2 TUM~a TUR TU~b U4 UB UR2 URI3~a
5	150116	P000534	ABZU AN ASAR BAHAR2~b BU~a DU6~a DUR2 E2~a E2~b GI KI N NANSZE~b NE~a NINLIL NI~b NUNUZ~a1 PAD~a RU TAK4~a TIDNUM TILLA2 TUM~a U4 UNUG~a UR2 USZUR3~b1
5	150117	P000160	AB~a AD~a AN ASAR BAHAR2~b BAR DU6~a DUR2 E2~a GI IM~a N NI~b NUNUZ~a1 TE TILLA2
5	150120	P000319	AD~a AN ASAR BA DU6~a IM~a KU~a MUSZEN N NAGA~a NI~a ZATU647
5	150123	P000533	AB~a ASZ2 BA BAHAR2~b BAR DUB~a DUR2 E2~a ERIM2 GA2~b GI GISZIMMAR~a2 IM~a IR~a MUSZEN N NAGA~a NA~a NI2 NIMGIR NUNUZ~a1 NUN~a PAP~a SIG7 SUSA TE TILLA2 TU~a U2~b ZATU647
6	148477	P000743	BA HI HI@g~a KU3~a MU SZITA~a1 SZITA~b1 UDU~a ZATU714
6	148479	P000759	AN BA GESZTU~b HI@g~a KAB KU3~a MUSZ3~a NAM2 NUN~a SZITA~b1 TA~c U4 UDU~a
6	148483	P000783	AB2 AN BA GESZTU~b HI HI@g~a IDIGNA KU3~a MEN~a SZA SZITA~a1 U8
6	148486	P000985	AMA~a BA GESZTU~b HI@g~a KU3~a PAP~a SZA SZE~a SZITA~a1 SZITA~b1 UDU~a
6	152982	P000742	BA EN~a GESZTU~b HI@g~a KU3~a MU SAG SZA SZE~a SZITA~a1 SZITA~b1 UDU~a ZATU714
7	150825	P325162	BU~a DUG~a E2~a EN~a KI KISAL~b1 KU6~a LAGAB~b ME~a MUSZEN NAM2 NE~a PAP~a RU SANGA~a SI SZU TE U4
