signI	signJ	{measureName}
1(N01)	2(N01)	709.4205229993787
1(N01)	EN~a	499.661313587247
1(N01)	1(N14)	436.54700082616245
1(N01)	GAL~a	429.2565349914904
1(N14)	2(N01)	418.65963141700547
1(N01)	AN	384.8379359337167
1(N01)	3(N01)	378.14279371927677
2(N01)	3(N01)	321.3938527478659
1(N14)	3(N01)	316.0582654123913
1(N14)	5(N01)	313.13975543542176
1(N01)	U4	291.5251755025401
1(N01)	SZE~a	290.3166096095615
1(N01)	SAL	266.4598964574837
1(N14)	4(N01)	259.9389582530478
2(N01)	EN~a	254.43252384302738
1(N14)	2(N14)	251.1254483148537
1(N01)	PAP~a	249.26682340854384
1(N01)	GI	247.68336506525532
1(N01)	1(N57)	241.09344253515943
1(N01)	BU~a	238.65526592136325
1(N01)	NUN~a	233.58744635947772
1(N01)	4(N01)	230.40080045246344
1(N01)	5(N01)	226.05864749647876
1(N01)	SANGA~a	223.507997540695
1(N01)	SZU	218.2302402937428
1(N01)	A	217.05261734412645
2(N01)	2(N14)	213.0748428493694
1(N01)	E2~a	212.74099298594996
1(N14)	1(N34)	212.59277292552287
1(N01)	2(N14)	212.30554969109915
2(N01)	4(N01)	209.53613651024364
2(N01)	5(N01)	207.24522392171846
1(N01)	NAM2	206.718898494759
1(N01)	BA	199.23550086914042
1(N01)	3(N57)	190.79503092821824
1(N01)	UDU~a	183.09480240548635
AN	EN~a	180.9479006712102
2(N14)	3(N01)	177.11522287006383
1(N14)	EN~a	175.57416914526513
1(N01)	ME~a	174.17586041650247
EN~a	PAP~a	173.1421911941304
2(N01)	AN	169.72004337214165
2(N01)	U4	169.17811836466143
EN~a	NUN~a	166.78961692025513
1(N57)	U4	165.3090552522818
1(N01)	SI	164.72388386912854
1(N14)	SZE~a	163.53098618860477
1(N01)	AB~a	162.00943216703726
1(N01)	SAG	161.52370958767366
2(N01)	SZE~a	161.44178657146736
1(N01)	DU	161.10693096798607
3(N01)	5(N01)	159.45714340529193
1(N01)	HI	157.59073495450596
2(N14)	5(N01)	157.35052835681958
1(N14)	6(N01)	156.3132003663672
2(N01)	SAL	154.4026170317031
1(N34)	2(N14)	152.2928391281625
1(N01)	DUG~b	151.5334363539205
2(N01)	PAP~a	150.93500209343125
3(N01)	4(N01)	150.43966695089185
3(N01)	EN~a	150.28108373961078
1(N01)	SZU2	150.06251675804032
1(N01)	KI	149.8698829114768
2(N14)	4(N01)	149.00980768722462
1(N01)	KU6~a	147.01150662398626
1(N14)	3(N14)	146.97489579575586
DU	EN~a	146.62024640755496
1(N01)	TUR	144.86481979721418
1(N01)	GISZ	142.0430532769706
1(N01)	NE~a	141.97077274022254
1(N01)	BAR	140.956969659149
1(N57)	2(N01)	137.17669676431674
NAM2	SZE~a	136.2774260111508
1(N01)	GA~a	133.17524988858665
3(N01)	SZE~a	132.65988747343252
1(N01)	SZITA~a1	132.20719440312698
EN~a	SZU	130.2331458341964
1(N01)	PA~a	130.21664866161532
1(N01)	TUG2~a	129.61042664032178
