signI	signJ	{measureName}
1(N01)	2(N01)	733.6105201173505
1(N01)	EN~a	512.1128774354011
1(N01)	1(N14)	450.10201512751075
1(N01)	GAL~a	434.7991836840149
1(N14)	2(N01)	433.5488743489262
1(N01)	3(N01)	391.54206353934075
1(N01)	AN	391.2286852675323
2(N01)	3(N01)	332.4029614974515
1(N14)	3(N01)	325.6106701777488
1(N14)	5(N01)	322.82122121782294
1(N01)	U4	299.2387748212987
1(N01)	SZE~a	297.79519105166094
1(N01)	SAL	272.91257465371586
1(N14)	4(N01)	266.5762217004183
2(N01)	EN~a	261.7244139864764
1(N14)	2(N14)	261.09528361567635
1(N01)	PAP~a	258.23320495948275
1(N01)	GI	252.23540177536051
1(N01)	1(N57)	251.0532230128093
1(N01)	BU~a	242.45741540971397
1(N01)	NUN~a	238.3249134665721
1(N01)	4(N01)	237.0604318437309
1(N01)	5(N01)	233.839353693249
1(N01)	SANGA~a	229.52966687071216
1(N01)	SZU	222.88212618547547
1(N01)	A	222.18801929836997
2(N01)	2(N14)	220.1928421071029
1(N01)	2(N14)	220.03012117705566
1(N14)	1(N34)	219.8147838747032
1(N01)	E2~a	217.15689172341547
2(N01)	4(N01)	216.8987583747519
2(N01)	5(N01)	214.11232064148885
1(N01)	NAM2	211.89011841250073
1(N01)	BA	205.5909405324832
1(N01)	3(N57)	195.23291897978274
1(N01)	UDU~a	188.69747990153178
AN	EN~a	186.52082416299228
1(N57)	U4	183.31813841910832
1(N14)	EN~a	182.4145537846441
2(N14)	3(N01)	181.2314650929678
1(N01)	ME~a	177.72597625431078
EN~a	PAP~a	176.36473025169408
EN~a	NUN~a	175.0928875867993
2(N01)	U4	174.37413958093546
2(N01)	AN	174.03979750099487
1(N14)	SZE~a	168.43691863735881
1(N01)	SI	167.416104393367
1(N01)	DU	165.76686365284084
2(N01)	SZE~a	165.73236096593652
1(N01)	SAG	165.6093421081308
1(N01)	AB~a	164.9990013164919
3(N01)	5(N01)	164.67346395854238
1(N14)	6(N01)	161.64058490779172
2(N14)	5(N01)	161.2989264665334
1(N01)	HI	160.80523117597585
1(N34)	2(N14)	157.53361886136005
2(N01)	SAL	157.31534810934082
