signI	signJ	{measureName}
1(N01)	2(N01)	779.7765486549641
1(N01)	1(N14)	556.0409042862236
1(N01)	EN~a	551.4019220494607
1(N14)	2(N01)	509.53525801968516
1(N01)	3(N01)	475.07853596968226
2(N01)	3(N01)	407.0479385652842
1(N01)	AN	386.6532665758879
1(N01)	GAL~a	374.8279089969406
1(N14)	3(N01)	374.3365907434158
1(N14)	5(N01)	362.82627555478535
1(N01)	U4	348.05955996743376
1(N01)	SZE~a	340.8786701095993
1(N01)	5(N01)	330.6106556828762
2(N01)	EN~a	325.8149208791035
1(N01)	4(N01)	325.40423314850693
1(N14)	2(N14)	321.51256305006643
1(N14)	4(N01)	309.857118463312
2(N01)	4(N01)	293.76749476714406
2(N01)	5(N01)	292.29291198743346
1(N01)	1(N57)	287.79151932835765
2(N01)	2(N14)	285.07501340570036
1(N01)	SAL	283.3451110099316
1(N01)	2(N14)	281.5988512128763
1(N01)	PAP~a	280.5715822678865
1(N01)	GI	274.62677581318445
1(N01)	BU~a	264.427752605585
1(N01)	NUN~a	263.9713698947535
1(N14)	1(N34)	260.81194142313046
1(N01)	SANGA~a	260.0494103579377
1(N01)	BA	254.672476148449
1(N01)	SZU	238.88362708016788
2(N14)	3(N01)	238.8790311664197
1(N01)	E2~a	236.8187159789728
1(N01)	A	236.1321426289238
1(N14)	EN~a	233.40930290631746
3(N01)	5(N01)	232.67122354395664
1(N01)	NAM2	231.4234074682533
3(N01)	4(N01)	226.7938868727326
AN	EN~a	225.76372698723003
1(N01)	UDU~a	221.84596223918095
2(N01)	SZE~a	216.17969750421426
EN~a	PAP~a	215.13235630001074
1(N01)	3(N57)	213.65118820709665
2(N01)	U4	211.09946509800457
1(N14)	SZE~a	210.90218229550072
1(N14)	3(N14)	209.5782335410194
2(N14)	5(N01)	207.54567374887912
2(N01)	AN	207.1798300799117
3(N01)	EN~a	202.14251518055005
1(N01)	ME~a	199.73834506830187
1(N01)	DU	194.82273440431808
1(N14)	6(N01)	194.8155951415587
1(N01)	AB~a	193.4340313562124
1(N57)	U4	192.82803708807393
1(N34)	2(N14)	192.60573201821268
1(N01)	SAG	189.2605715817299
EN~a	NUN~a	188.8372433670421
2(N14)	4(N01)	188.80362240579055
2(N01)	PAP~a	188.2056118603521
1(N01)	SI	186.17226670560473
1(N57)	2(N01)	183.084040549798
1(N01)	3(N14)	182.00561854347316
2(N01)	SAL	181.13444807932706
1(N01)	HI	180.0140869541618
3(N01)	SZE~a	178.31912148856483
DU	EN~a	178.1104429554103
1(N01)	KI	176.54145126044244
1(N01)	6(N01)	175.55357807747822
2(N01)	3(N14)	175.05516667476812
EN~a	SZE~a	174.89646730182557
2(N14)	3(N14)	174.68836875899103
1(N01)	1(N34)	173.17548056183236
1(N01)	SZU2	172.51700626761152
