signI	signJ	{measureName}
1(N01)	GAL~a	388.44031870463016
1(N01)	EN~a	303.217143844985
1(N01)	AN	198.53334700072313
1(N01)	DUG~b	197.67261904761904
1(N01)	1(N14)	182.45473044728442
1(N14)	2(N01)	182.27239224526755
1(N01)	U4	155.46106893429808
1(N14)	5(N01)	153.46426139220253
1(N14)	3(N01)	142.85357052852237
1(N01)	NAM2	132.31338960134252
1(N01)	GISZ	131.80587606837614
1(N14)	1(N34)	130.55252329198152
1(N57)	U4	130.07553966945707
1(N01)	SAL	129.1238730582619
1(N01)	SZE~a	128.66742086138206
1(N01)	PAP~a	125.03940511141042
1(N14)	4(N01)	124.851506429587
1(N01)	BU~a	109.44870610617853
1(N01)	1(N57)	105.65696165080075
2(N01)	EN~a	104.0032686469067
1(N01)	GI	102.32757502870042
EN~a	NUN~a	101.37161586699548
1(N01)	BA	100.63342754917859
1(N01)	SANGA~a	99.4059706014659
1(N01)	NUN~a	99.36470449218528
EN~a	PAP~a	97.47110644097853
2(N01)	2(N14)	96.11843904289718
AN	EN~a	95.43600966261961
1(N01)	2(N01)	92.22271599950126
1(N34)	2(N14)	92.1629477548595
DU	EN~a	90.45033355533351
1(N01)	3(N57)	90.34890525430804
1(N01)	SZU	88.16291146034061
1(N01)	E2~a	87.20652024924094
NAM2	SZE~a	86.79985437268046
1(N14)	SZE~a	86.72989957668752
2(N14)	3(N01)	84.33374029370965
1(N01)	SI	83.91000424412191
1(N57)	BAR	81.3712053039839
2(N01)	U4	80.47900075893226
1(N01)	2(N14)	79.36095917670217
AN	MUSZ3~a	78.38347904818491
2(N01)	SZE~a	77.64195411525198
1(N34)	3(N14)	76.65940377132327
2(N14)	5(N01)	76.4308912492736
2(N14)	4(N01)	74.87869783982786
1(N01)	DUG~c	74.51565185621979
1(N14)	U4	73.64753196446509
BU~a	PAP~a	71.86235450386472
1(N01)	KUR~a	70.8437373786058
1(N01)	UDU~a	69.65625183639888
1(N01)	TUR	67.6566406019983
3(N01)	SZE~a	67.51582356837777
1(N01)	TUG2~a	67.47420740250459
1(N01)	AB~a	67.24439489257153
1(N14)	EN~a	66.73753910848683
2(N14)	SZE~a	66.20544711566383
EN~a	SZE~a	64.4301848478319
1(N14)	6(N01)	64.40204436086785
1(N01)	DU	62.35401399769822
1(N24)	2(N39~a)	62.08059474213789
1(N01)	SAG	61.849626933953544
2(N01)	SAL	61.08620886076127
GAL~a	SANGA~a	60.233330297153806
1(N01)	HI	60.223860879103846
GA~a	ZATU753	58.84052675480691
2(N01)	PAP~a	58.820362198188306
EN~a	SZU	58.61910415884196
1(N58)	BAD~a	58.484981684981655
1(N01)	BAR	58.12089956826797
BA	EN~a	57.11701437600853
1(N01)	KU3~a	57.09479266347686
1(N01)	3(N14)	56.73924679122045
1(N01)	3(N01)	56.10168873471328
4(N01)	SZE~a	55.83155327674113
EN~a	SZU2	55.59175538802123
1(N14)	UDU~a	55.27054848746023
PAP~a	SU~a	55.01926088617263
KUR~a	SAL	54.873178721862914
1(N01)	SZITA~a1	54.628921445982954
1(N01)	SZU2	53.85814518814519
3(N01)	EN~a	53.198655730189586
NI~a	RU	52.78366268234687
1(N14)	8(N01)	52.46725720358071
2(N01)	BA	52.11652041905237
1(N57)	2(N01)	51.98603275003476
1(N34)	4(N14)	51.86803115185466
2(N01)	AN	51.54018159128451
EN~a	U4	51.113738387352555
1(N14)	BA	51.057792860734025
EN~a	HI	50.99483586059673
BA	GI	50.899639221250474
1(N45)	SZE~a	50.84430504136387
1(N01)	1(N08)	50.36134614765446
2(N57)	U4	50.17855512087521
1(N57)	DUG~c	49.86425295086552
1(N01)	MUSZEN	49.39472471972474
1(N01)	A	49.35996970491856
EN~a	PA~a	49.33407195958347
1(N34)	2(N01)	48.98058280900387
1(N01)	NE~a	48.68869637862773
EN~a	TUR	48.345306979318394
3(N14)	5(N01)	47.69423533982356
3(N57)	PAP~a	47.14303232930188
1(N01)	SU~a	46.987920168067234
EN~a	KI	46.635463147963144
1(N57)	SAL	46.633955178808094
2(N01)	GI	46.40694145200478
1(N01)	AB2	46.06334906641701
PAP~a	SAL	45.96723667205899
1(N01)	PA~a	45.908117944147364
EN~a	GI	45.809315914974476
EN~a	SAL	45.75843826624634
1(N24)	SZE~a	45.75605417410957
3(N01)	3(N14)	45.550720899327686
BA	SZE~a	45.5357857828446
3(N01)	U4	45.53165013846928
2(N01)	3(N14)	45.4226193397246
SZE~a	U4	45.2071352896537
NAM2	PAP~a	45.01350117782038
1(N01)	1(N24)	44.61405181802054
1(N01)	GA~a	44.31334735812288
3(N57)	U4	44.169225970300865
BU~a	NAM2	44.112788178005566
EN~a	IB~a	44.112455599955595
1(N01)	ME~a	43.912436452436445
GI	SZE~a	43.77457454825876
1(N01)	KI	43.44727004477004
BU~a	DU6~a	43.07402310749385
1(N01)	NI~a	43.0395748858984
1(N01)	SILA3~a	42.674405969284265
EN~a	SAG	42.39575177098144
A	EN~a	42.326101676101665
NAM2	PA~a	42.10654623154622
3(N14)	SZE~a	42.09819681952035
1(N14)	7(N01)	41.97252420781831
1(N01)	1(N34)	41.62440254190255
1(N14)	2(N14)	41.34477547818239
BAR	SAL	41.334584859584844
3(N01)	SAL	40.87092760180997
1(N14)	1(N57)	40.77672397262181
5(N14)	SZE~a	40.733421398862575
EN~a	SI	40.54743140971216
E2~a	NUN~a	40.54714123492013
1(N01)	4(N01)	40.49708369024684
E2~a	EN~a	40.448351144306415
2(N01)	UDU~a	40.315354090354084
DU	PAP~a	40.30665942244888
BU~a	EN~a	40.28529184415139
2(N01)	SZU	39.90555830645234
KAB	NAM2	39.84093406593406
2(N01)	4(N14)	39.44335135968262
1(N24)	1(N39~a)	38.954532215290726
4(N14)	5(N01)	38.75111938714879
1(N57)	BA	38.5436649349962
1(N01)	TAK4~a	38.246648449589635
BAR	U4	38.150933423301865
1(N14)	9(N01)	37.805714791744194
1(N01)	1(N39~a)	37.7831910349712
3(N57)	EN~a	37.593908258306534
3(N01)	BA	37.563547073841185
1(N08)	U4	37.56075533661739
4(N01)	U4	37.53488470341918
AN	SZU2	37.2605436549402
5(N01)	U4	37.18006258447434
1(N01)	KU6~a	36.640090087071506
3(N14)	4(N01)	36.51579289303748
2(N01)	BU~a	36.431033092605986
1(N34)	5(N14)	36.368993613885245
3(N57)	PIRIG~b1	36.334525708209924
1(N25)	1(N42~a)	36.289789377289374
PA~a	RAD~a	36.08064892623717
2(N45)	SZE~a	35.78335569659098
2(N14)	6(N01)	35.66128193701723
2(N14)	EN~a	35.60153561414431
NAM2	RAD~a	35.57499999999998
5(N01)	SZE~a	35.497187942776186
AN	HI	35.46181457431458
2(N14)	2(N34)	35.01007742257742
HI	NUN~a	34.91536718585951
1(N01)	SIG2~b	34.792975330483074
2(N01)	E2~a	34.784653041628204
GAL~a	SZITA~a1	34.757140735081926
1(N01)	SZUBUR	34.68440476190474
GISZ	SZU2~a	34.65435865304286
1(N01)	NAGAR~b	34.5
2(N01)	NUN~a	34.497621366194544
1(N14)	GI	34.4115275913457
1(N01)	GA2~a1	34.39007936507937
PAP~a	SZU	34.32565582565583
2(N01)	3(N01)	33.96275724158254
1(N14)	AN	33.90104866397969
3(N01)	PAP~a	33.85329911699951
PAP~a	SZE~a	33.77166267709746
1(N57)	EN~a	33.737791035933455
5(N01)	UDU~a	33.71693861693862
1(N34)	3(N01)	33.71392390289449
3(N57)	E2~a	33.649411395900394
AN	MAR~a	33.58203463203463
2(N14)	BA	33.54703324453325
EN~a	ME~a	33.449664572650846
5(N01)	EN~a	33.43653584977115
1(N34)	4(N01)	33.35516733524473
1(N57)	3(N01)	33.117592382686546
1(N14)	PAP~a	33.09185702755793
KU6~a	RAD~a	32.88735545500251
4(N01)	BA	32.85979477328582
1(N01)	MUSZ3~a	32.49824434824435
4(N01)	EN~a	32.40890781166356
2(N01)	TUG2~a	32.18777777777778
AN	U4	32.10401302551405
AN	KI	31.73584147334148
1(N57)	SZUBUR	31.715047044458817
1(N01)	GI6	31.54759751037428
2(N01)	TUR	31.532713446092604
1(N01)	5(N01)	31.42097182229535
SAL	SZU	31.08854679941637
1(N57)	5(N01)	30.938217338217342
2(N14)	7(N01)	30.850094578624002
AN	BA	30.81722240178123
1(N14)	2(N34)	30.78598378745438
1(N57)	2(N14)	30.6723028820165
1(N14)	SAL	30.649885204664617
1(N01)	U2~b	30.630463980463976
2(N01)	3(N57)	30.58028356388331
2(N14)	U4	30.534126984126978
1(N01)	DA~a	30.499211534079954
BU~a	SZE~a	30.439201096809796
1(N14)	GAR	30.19114719130199
1(N34)	5(N01)	30.167846042846044
1(N01)	GADA~a	30.158809523809527
3(N57)	SAL	30.109011013209937
1(N01)	GAR	30.098089921774136
3(N01)	UDU~a	29.986959772253893
U4	UDU~a	29.977516927516923
2(N14)	UDU~a	29.969505494505494
NUN~a	SANGA~a	29.932959472587967
2(N34)	3(N14)	29.657106782106787
1(N01)	4(N14)	29.575304515745696
3(N01)	GI	29.424996001175675
1(N57)	1(N58)	29.41737348908404
BA	U4	29.4003395297513
1(N01)	ZATU659	29.326984126984126
TUR	U4	29.14420922081727
SZE3	UDU~a	29.083730158730155
BU~a	TUR	28.821807034569968
EN~a	TE	28.805211237564187
KAR2~a	NUN~a	28.761133175153134
1(N01)	GU4	28.7545868347339
1(N39~a)	SZE~a	28.646680856123584
1(N01)	AL	28.59243838949721
4(N14)	SZE~a	28.58656835940117
1(N01)	2(N57)	28.549824744221297
2(N01)	5(N01)	28.319220779220778
BA	UDU~a	28.25301659125189
3(N01)	AN	28.14575175782072
AN	PAP~a	28.023391294866954
BAD	TUG2~a	27.973004773004785
2(N39~a)	SZE~a	27.926717522006836
3(N01)	4(N14)	27.891781829281836
2(N01)	4(N01)	27.89036504491694
5(N01)	BA	27.763475413475415
3(N57)	SU~a	27.563693547594475
1(N01)	UMUN2	27.55670995670997
PAP~a	U4	27.544873436113967
GI	U4	27.5437295585362
1(N01)	UD5~a	27.468235025843732
DI	NAM2	27.37360835243188
1(N57)	4(N01)	27.346927991742238
3(N57)	SZE~a	27.332278122559455
1(N01)	ZATU737	27.240476190476183
1(N01)	IB~a	27.228514214543623
1(N01)	MASZ	27.17351251689487
BU~a	DU	27.140327319739086
EN~a	TUG2~a	27.06515189488874
2(N01)	SI	26.994903846153846
HI@g~a	ZATU714	26.98769841269842
1(N01)	1(N58)	26.95042735042735
1(N01)	GAN2	26.91473665223665
1(N14)	1(N45)	26.74082265773443
A	TAK4~a	26.735668498168497
MUD	NUN~a	26.667477070573042
1(N01)	DUB~a	26.664087301587305
2(N01)	KUR~a	26.656295093795094
PA~a	SZE~a	26.60650738150738
BU~a	GI	26.35995167113588
3(N01)	SZU	26.302722992581
1(N01)	UB	26.299242424242426
2(N14)	8(N01)	26.298101538983893
DUG~a	EN~a	26.260274082642507
1(N01)	TE	26.25972915972915
BU~a	SAL	26.14998423949831
GAL~a	GA~a	26.07438147507807
1(N45)	2(N14)	26.034325396825402
1(N01)	MA	26.01399346267767
3(N57)	BU~a	25.817266047134808
4(N01)	4(N14)	25.761185649575744
E2~a	KUR~a	25.72171162171162
1(N25)	2(N42~a)	25.673794261294265
2(N01)	PA~a	25.438434565950047
1(N01)	ERIM~a	25.27411806030227
EN~a	KU6~a	25.17276992013834
EN~a	SZITA~a1	25.12895217546247
EN~a	SANGA~a	25.117632367632368
3(N14)	6(N01)	25.113324175824186
E2~a	U4	25.11211026779112
1(N01)	SUKKAL	24.988148148148145
5(N01)	SAL	24.91626984126984
TAR	UDU~a	24.843629083334964
1(N24)	2(N01)	24.801884612457638
3(N01)	5(N14)	24.79402321534674
EN~a	GAL~a	24.654479409479414
DUG~a	KASZ~a	24.65238095238096
E2~a	HI	24.641808518279106
1(N01)	AMAR	24.577856939877403
1(N34)	6(N01)	24.466052003552008
1(N01)	SZA	24.458562327350347
1(N57)	PAP~a	24.419674963228942
KISAL~b1	KU6~a	24.374603174603173
SAL	ZATU737	24.361507936507934
E2~a	SAL	24.340002504805142
EN~a	GA2~a1	24.316238742100815
AN	SZE~a	24.31129148629149
2(N01)	DU	24.236924741924746
3(N01)	3(N57)	24.19395707096893
1(N01)	NA~a	24.08715728715729
1(N01)	KASZ~c	24.060714285714287
5(N01)	AN	24.036688311688316
2(N01)	5(N14)	24.03629104813315
3(N57)	NUNUZ~a1	24.036052531060268
1(N01)	5(N14)	24.01749427043545
1(N24)	1(N28)	24.00482531892268
LAGAB~b	TE	23.953889737713272
3(N57)	EN2	23.906162464985997
1(N01)	UR2	23.839375901875908
4(N01)	UDU~a	23.820478704302236
KU6~a	ZATU759	23.769841269841272
1(N58)	GAL~a	23.526851442331317
1(N14)	E2~a	23.52236536733795
2(N01)	ME~a	23.44723193473194
SANGA~a	ZATU737	23.350000000000005
1(N01)	UNUG~a	23.346506417559045
1(N01)	TUR3~a	23.335143097643098
1(N01)	ZATU753	23.23577409432673
A	BU~a	23.115337922946622
AN	SZU	23.038768638768648
3(N57)	TUR	23.027116647734918
2(N01)	DUG~c	23.027049908997174
1(N14)	3(N14)	22.891430159967314
ME~a	SI	22.87205944703656
3(N14)	8(N01)	22.815223665223666
AN	SI	22.814486901986903
NUN~a	PAP~a	22.78186086097986
BU~a	NUN~a	22.76984337808136
SZU	TUR	22.767345059033037
2(N01)	SZU2	22.75847504347504
3(N57)	AN	22.754209607911434
1(N57)	TUR	22.72381450678665
2(N01)	NAM2	22.713675849583787
1(N01)	E2~b	22.66269841269841
AN	E2~a	22.627137415398067
1(N01)	SIG7	22.626148034971568
AN	NUNUZ~a1	22.576190476190476
BU~a	HI	22.558504905627665
GAL~a	TE	22.546904946904945
GI	MUSZEN	22.5444447301065
1(N45)	5(N14)	22.53494397759104
1(N01)	SUHUR	22.516013071895422
AN	NUN~a	22.501474143618108
1(N01)	DUG~a	22.40407268170426
1(N01)	MASZ2	22.379756354756356
1(N01)	2(N39~a)	22.373954624429697
1(N01)	KISAL~b1	22.360714285714288
3(N57)	DU	22.358536806330925
GAL~a	UMUN2	22.357575757575756
1(N01)	PIRIG~b1	22.3455266955267
GISZ	TE	22.337759462759465
NE~a	SZE~a	22.277294685990345
ME~a	SZU	22.18881673881674
2(N14)	GAR	22.17727272727273
AN	SAL	22.106664454826223
1(N01)	NAR	22.074969474969468
EN~a	ZATU651	22.056556455240663
KU~b1	SI	22.03213730713731
SAL	TUR	22.012334522794372
EN~a	KUR~a	22.001605022657653
GAN2	SZE~a	21.995850322707913
3(N14)	UDU~a	21.967821067821067
GAL~a	SZAB~a	21.919246646026824
AB~a	EN~a	21.89366619101274
1(N01)	SZE3	21.83296870472326
1(N14)	3(N57)	21.796714510697782
SZE~a	SZU	21.77556332556333
SZAKIR~c	ZATU752	21.75526885395307
2(N14)	3(N14)	21.69826271509708
1(N57)	3(N57)	21.661230145619033
A	AN	21.655942668442666
1(N24)	3(N39~a)	21.566740715424928
1(N01)	NAGA~a	21.546657509157512
A	SAL	21.487763556532908
6(N14)	SZE~a	21.477941176470594
6(N01)	BA	21.444997486173957
BU~a	E2~a	21.40414698072447
GAR	U4	21.400140167709825
GI	SZU	21.3872830189624
AN	DU	21.38299825174826
1(N57)	3(N14)	21.34076367389061
GIBIL	U4	21.300322114216634
BA	KI	21.295013015020753
BUR2	TUG2~a	21.21716747304983
3(N01)	NUN~a	21.204635802556695
1(N34)	SZE~a	21.161395140806903
2(N57)	MUSZEN	21.141461799070495
LA2	SUG5	21.04080179080179
1(N34)	1(N57)	21.027001923944653
1(N24)	U4	20.99453445043148
1(N01)	1(N02)	20.942694805194808
SAL	SZE~a	20.926639021453266
2(N01)	SILA3~a	20.840058973781083
MUSZEN	PAP~a	20.825896094054666
E~a	KISAL~b1	20.776479076479077
1(N46)	SZE~a	20.657341841165373
AN	PA~a	20.63370240870241
1(N01)	DUR2	20.610317460317457
BA	E2~a	20.52757218271924
4(N01)	5(N14)	20.527420154664735
MU	ZATU714	20.514285714285716
