signI	signJ	{measureName}
1(N01)	GAL~a	505.4142177015818
1(N01)	EN~a	370.2761228866075
1(N01)	AN	249.74517754433379
1(N01)	DUG~b	212.11428571428576
1(N14)	2(N01)	210.0182879606662
1(N01)	1(N14)	208.91324013051906
1(N01)	NAM2	196.1483106805476
1(N01)	U4	186.5637786931792
1(N01)	GISZ	184.42151875901894
1(N57)	U4	172.6760711510712
1(N14)	5(N01)	170.76122399272543
1(N01)	SAL	166.55854409608267
1(N01)	PAP~a	164.67976028936582
1(N14)	3(N01)	160.9876725335657
1(N01)	SZE~a	159.2534071932302
1(N01)	1(N57)	142.74650525445972
1(N14)	1(N34)	140.11819322748113
1(N01)	SANGA~a	139.50377615848208
1(N01)	GI	138.2271664818146
1(N14)	4(N01)	137.4191926047809
1(N01)	BU~a	135.18006616276736
NAM2	SZE~a	134.1237432012432
1(N01)	NUN~a	133.36279032434638
EN~a	NUN~a	126.23415330252814
1(N01)	SZU	121.37854937759033
2(N01)	EN~a	118.44368725179355
1(N01)	BA	115.7916828600536
1(N01)	E2~a	115.62750670081553
1(N01)	3(N57)	110.27910115770015
AN	EN~a	106.74138635754682
EN~a	PAP~a	105.06264081810119
2(N01)	2(N14)	103.89763840906251
1(N01)	SI	103.6437481962482
1(N01)	2(N01)	102.67544012793356
1(N14)	SZE~a	102.31108159070699
1(N34)	2(N14)	99.6722117079627
DU	EN~a	97.68033088641063
1(N01)	A	94.15335497835497
1(N01)	DUG~c	93.56639573876411
2(N01)	U4	91.71741646427525
2(N14)	3(N01)	91.2870711132169
1(N01)	TUG2~a	91.04975156422522
1(N01)	KI	90.92081289625409
1(N01)	AB~a	90.8660118905862
1(N01)	2(N14)	89.62997680069289
1(N01)	UDU~a	89.57141541465069
1(N01)	KUR~a	89.15574576782006
1(N01)	TUR	88.6268779129965
2(N01)	SZE~a	88.11162686326665
1(N01)	SAG	88.05865990090064
1(N01)	SZITA~a1	87.25340056400424
GA~a	ZATU753	86.41666666666667
1(N57)	BAR	86.17340566210534
AN	MUSZ3~a	84.68047420415839
2(N14)	5(N01)	84.1870172096565
1(N58)	BAD~a	84.0
1(N14)	U4	83.66485417262791
2(N14)	4(N01)	83.53356716383027
1(N01)	AB2	82.77076306046892
1(N01)	HI	82.1930690224808
1(N34)	3(N14)	82.12194104914693
1(N01)	DU	80.98804663173084
1(N14)	EN~a	80.86706643072631
1(N01)	KU3~a	80.52371657754007
NI~a	RU	80.49047619047619
BU~a	PAP~a	78.67350892748027
