signI	signJ	{measureName}
1(N01)	2(N01)	795.758346651585
1(N01)	1(N14)	643.0866128873269
1(N01)	EN~a	574.418757869598
1(N14)	2(N01)	573.2634242098462
1(N01)	3(N01)	509.8290908072232
2(N01)	3(N01)	440.30288882021904
1(N01)	N	434.0561311227753
1(N14)	3(N01)	415.29924672695205
1(N01)	AN	403.5135954955545
1(N01)	GAL~a	388.05298056048025
1(N14)	5(N01)	384.5121570473592
1(N01)	4(N01)	374.1194977423749
1(N01)	5(N01)	371.13847850862305
1(N14)	2(N14)	364.1512091118399
2(N01)	EN~a	355.88057113353574
1(N01)	SZE~a	353.63734278638486
1(N01)	2(N14)	351.4804896964063
1(N01)	U4	350.7824480489436
2(N01)	2(N14)	343.82465482666527
1(N14)	4(N01)	342.38316942098453
2(N01)	4(N01)	335.39479917332073
2(N01)	5(N01)	324.91214066219743
1(N14)	EN~a	301.3754167271781
1(N01)	PAP~a	298.80752214308654
1(N14)	1(N34)	298.6660383972185
1(N01)	SAL	294.1980180772891
1(N01)	NUN~a	289.62218805384407
1(N01)	GI	287.01099851092874
1(N01)	BA	285.44992268667573
2(N14)	3(N01)	281.25423252526423
1(N01)	SANGA~a	279.4681728690488
1(N01)	1(N57)	278.96556475634503
1(N01)	BU~a	278.7136978064837
1(N01)	SZU	262.8122250843989
3(N01)	5(N01)	260.7712994169449
3(N01)	4(N01)	255.48405510099295
1(N01)	1(N34)	255.22608793394298
1(N01)	A	252.00701862422451
1(N01)	NAM2	245.90283184338304
1(N14)	3(N14)	245.02922895091567
1(N01)	UDU~a	244.07610913840335
1(N14)	SZE~a	242.44910373344393
3(N01)	EN~a	242.16991202461685
1(N01)	E2~a	241.23563638545394
AN	EN~a	238.13245183491108
2(N01)	SZE~a	232.3569839114336
2(N14)	5(N01)	231.5154615722319
1(N01)	3(N14)	227.32317067010177
1(N34)	2(N14)	226.72696532087645
1(N01)	3(N57)	225.47087392090313
2(N01)	U4	223.938027976775
2(N01)	AN	223.63714420131845
2(N14)	4(N01)	222.48954848147483
EN~a	PAP~a	219.43410539166257
1(N01)	6(N01)	214.89087850259057
1(N01)	DU	212.2070671304459
2(N01)	3(N14)	210.8983775991597
1(N34)	2(N01)	209.1580028726897
1(N14)	6(N01)	208.2011873123642
1(N01)	ME~a	205.39652865946894
1(N01)	AB~a	205.378328251451
2(N14)	3(N14)	205.3001323812427
2(N01)	BA	205.22232414561805
2(N01)	PAP~a	202.83930472771416
1(N14)	U4	202.26637509545873
1(N01)	SAG	201.98172749441483
EN~a	NUN~a	198.9454093095002
2(N01)	SAL	198.43211454305867
4(N01)	5(N01)	197.7257591136773
2(N14)	EN~a	194.00180575301283
2(N01)	UDU~a	193.43827029356706
1(N57)	2(N01)	192.49728321055352
EN~a	SZE~a	190.21939364119098
5(N01)	EN~a	190.14839576127042
1(N14)	BA	190.14792258088897
1(N01)	KI	188.57681176717173
3(N01)	SZE~a	188.230972391547
2(N01)	6(N01)	188.1250191914279
1(N01)	HI	186.86935738089787
