signI	signJ	{measureName}
1(N01)	2(N01)	708.4365229993787
1(N01)	EN~a	498.7969919792068
1(N01)	1(N14)	434.70105107741875
1(N01)	GAL~a	428.5445349914904
1(N14)	2(N01)	417.7876314170055
1(N01)	AN	383.8881871899982
1(N01)	3(N01)	376.30596959867376
2(N01)	3(N01)	320.50585274786584
1(N14)	3(N01)	314.08431566364754
1(N14)	5(N01)	312.1548308123061
1(N01)	U4	289.7966528894748
1(N01)	SZE~a	289.6733935291595
1(N01)	SAL	265.07670047758427
1(N14)	4(N01)	258.95403362993216
2(N01)	EN~a	254.43252384302738
1(N14)	2(N14)	251.1254483148537
1(N01)	PAP~a	249.26682340854384
1(N01)	GI	246.77381732656187
1(N01)	1(N57)	240.7814425351594
1(N01)	BU~a	237.91126592136325
1(N01)	NUN~a	233.58744635947772
1(N01)	4(N01)	229.45607683437302
1(N01)	5(N01)	225.0938233758758
1(N01)	SANGA~a	223.507997540695
1(N01)	SZU	218.0622402937428
1(N01)	A	215.66769272101087
2(N01)	2(N14)	213.0748428493694
1(N01)	2(N14)	212.30554969109915
1(N01)	E2~a	211.86662112665348
1(N14)	1(N34)	211.61287342803544
2(N01)	4(N01)	209.53613651024364
2(N01)	5(N01)	207.24522392171846
1(N01)	NAM2	206.718898494759
1(N01)	BA	198.61238529125094
1(N01)	3(N57)	190.79503092821824
1(N01)	UDU~a	182.81480240548632
AN	EN~a	177.36762263136072
2(N14)	3(N01)	177.11522287006383
1(N01)	ME~a	174.17586041650247
1(N14)	EN~a	173.73930216969467
EN~a	PAP~a	172.69503672258566
2(N01)	AN	169.72004337214165
2(N01)	U4	168.33811836466145
1(N01)	SI	164.72388386912854
EN~a	NUN~a	162.46062190653262
1(N14)	SZE~a	162.39341521686296
1(N01)	AB~a	162.00943216703726
1(N57)	U4	161.71723596165273
2(N01)	SZE~a	161.44178657146736
1(N01)	DU	161.10693096798607
1(N01)	SAG	160.6292372258646
3(N01)	5(N01)	158.54257054097033
1(N01)	HI	157.59073495450596
2(N14)	5(N01)	157.35052835681958
1(N14)	6(N01)	156.3132003663672
2(N01)	SAL	153.8426170317031
1(N34)	2(N14)	152.2928391281625
1(N01)	DUG~b	151.5334363539205
2(N01)	PAP~a	150.93500209343125
1(N01)	SZU2	150.06251675804032
3(N01)	EN~a	149.5423902722741
3(N01)	4(N01)	149.44971720214815
2(N14)	4(N01)	149.00980768722462
1(N01)	KI	148.92013416775822
1(N01)	KU6~a	147.01150662398626
1(N14)	3(N14)	146.02289579575586
DU	EN~a	145.3133323628673
1(N01)	TUR	144.86481979721418
1(N01)	NE~a	141.26725515228284
1(N01)	BAR	140.956969659149
1(N01)	GISZ	140.64848041264898
1(N57)	2(N01)	136.84869676431674
1(N01)	GA~a	133.17524988858665
NAM2	SZE~a	132.3297725713394
3(N01)	SZE~a	132.14229953373402
1(N01)	SZITA~a1	131.591194403127
