signI	signJ	{measureName}
1(N01)	2(N01)	768.153096175636
1(N01)	1(N14)	546.8588670285563
1(N01)	EN~a	542.9094246865875
1(N14)	2(N01)	499.50176771718907
1(N01)	3(N01)	467.866125150372
2(N01)	3(N01)	400.2690784548841
1(N01)	AN	383.07289357713825
1(N01)	GAL~a	371.5551081460799
1(N14)	3(N01)	368.8347083943658
1(N14)	5(N01)	357.35249692792473
1(N01)	U4	343.0468396387535
1(N01)	SZE~a	335.9778814653929
1(N01)	5(N01)	325.5019579048435
1(N01)	4(N01)	320.6901673949183
2(N01)	EN~a	320.36095366158827
1(N14)	2(N14)	315.14863955586094
1(N14)	4(N01)	305.7246801519745
2(N01)	4(N01)	289.21033177019837
2(N01)	5(N01)	287.45226330708294
1(N01)	1(N57)	282.3446612392801
2(N01)	2(N14)	279.80916968511787
1(N01)	SAL	278.86873549483903
1(N01)	2(N14)	276.2006514991548
1(N01)	PAP~a	273.6296110893788
1(N01)	GI	271.64237877853856
1(N01)	BU~a	261.37850087707943
1(N01)	NUN~a	259.9761184367771
1(N14)	1(N34)	255.8396364687649
1(N01)	SANGA~a	255.40314408730552
1(N01)	BA	249.45410966647245
1(N01)	SZU	236.20185484221784
2(N14)	3(N01)	235.55606495700331
1(N01)	E2~a	233.69410943700652
1(N01)	A	232.5033518814153
3(N01)	5(N01)	229.66233771036335
1(N01)	NAM2	228.3804985436783
1(N14)	EN~a	228.19687148835064
3(N01)	4(N01)	223.76903664482003
AN	EN~a	222.57757378746703
1(N01)	UDU~a	217.9581204261371
2(N01)	SZE~a	213.43152636281897
EN~a	PAP~a	212.74230302144974
1(N01)	3(N57)	209.97512943813024
1(N14)	SZE~a	208.4292136255113
2(N01)	U4	207.3071837200123
1(N14)	3(N14)	205.82370977419305
2(N01)	AN	204.85164612850468
2(N14)	5(N01)	204.1452788860479
3(N01)	EN~a	199.36354716341611
1(N01)	ME~a	197.74218922516582
1(N01)	AB~a	191.606235949084
1(N14)	6(N01)	191.6021753089595
1(N01)	DU	191.44553128188508
1(N34)	2(N14)	188.61505292692246
1(N01)	SAG	187.15065229657745
2(N14)	4(N01)	186.77307181126923
2(N01)	PAP~a	185.5990659503234
1(N01)	SI	184.63939694046815
EN~a	NUN~a	183.88204054533443
1(N57)	U4	183.32472901084827
2(N01)	SAL	179.49817488075266
1(N01)	3(N14)	178.88608849712676
1(N57)	2(N01)	178.77330882169025
1(N01)	HI	178.13473431753323
DU	EN~a	176.80434164300175
3(N01)	SZE~a	176.17312027002362
1(N01)	KI	173.44284559297142
1(N01)	6(N01)	172.49116516097047
2(N14)	3(N14)	172.226658499058
EN~a	SZE~a	172.186991697607
2(N01)	3(N14)	171.87059044993197
1(N01)	SZU2	170.76923646715818
1(N01)	1(N34)	169.00058682803726
4(N01)	5(N01)	168.3498921638019
1(N01)	KU6~a	167.58163726013169
2(N01)	BA	166.93370530983563
1(N01)	PA~a	165.7710714764407
1(N14)	U4	165.23184737991326
1(N01)	TUR	164.97038296671153
1(N01)	NE~a	161.60433642150736
1(N34)	2(N01)	160.8089402903919
1(N14)	UDU~a	160.3440625501466
2(N01)	UDU~a	160.04115997639548
1(N01)	BAR	159.05149292995551
EN~a	SZU	158.43157317800527
2(N14)	SZE~a	155.49605535554642
2(N01)	GI	154.24886521581834
1(N01)	GA~a	153.65329773865355
1(N34)	3(N14)	153.25655096715687
5(N01)	EN~a	153.0215187560642
EN~a	U4	152.60190198905553
2(N01)	SZU	151.58522330326036
1(N01)	SZITA~a1	149.04611371509353
2(N01)	6(N01)	148.92416171777674
NAM2	SZE~a	148.718194828251
1(N01)	TE	148.14179892974406
3(N01)	U4	147.85690034016963
1(N14)	8(N01)	147.54532787255502
BU~a	EN~a	147.11036593008333
EN~a	GAL~a	146.042224687494
3(N14)	5(N01)	145.1100059486995
BU~a	PAP~a	144.42323706522743
EN~a	SAL	144.01542768437824
1(N14)	BA	143.91204162603196
3(N57)	EN~a	143.7685381744658
1(N14)	AN	143.5873378598487
2(N01)	E2~a	143.04011295434327
1(N01)	AB2	143.01881267429664
GAL~a	SANGA~a	142.73455901651568
2(N14)	EN~a	142.71962472579435
EN~a	GI	142.1046509504439
2(N01)	BU~a	141.0991479703912
3(N01)	AN	141.03155924786887
1(N01)	NI~a	140.87690124872717
A	EN~a	137.46037878827585
1(N14)	1(N57)	137.43467328059302
3(N01)	3(N14)	137.2336008860953
2(N01)	3(N57)	136.60044339996566
4(N01)	EN~a	136.39347777216062
1(N01)	SZUBUR	135.00644012316806
1(N14)	GI	134.71466276291724
1(N01)	GAR	133.8412745224491
1(N14)	7(N01)	133.2697795812894
2(N01)	A	133.02536419722438
1(N01)	DUG~b	131.90005468777017
E2~a	EN~a	130.88905768928808
1(N01)	GISZ	130.78563016144966
1(N01)	IB~a	130.65944213043056
EN~a	KI	128.66924018658193
BA	EN~a	128.57865617488554
4(N01)	SZE~a	128.2832559757462
1(N01)	TUG2~a	128.03238821370735
1(N01)	7(N01)	127.64917513014942
2(N01)	NUN~a	127.56194075181556
3(N14)	4(N01)	127.54587952755895
2(N01)	GAL~a	127.53729597400059
EN~a	SANGA~a	127.45057365346672
SZE~a	U4	127.06524924583881
3(N01)	BA	126.30416664985448
1(N01)	MUSZ3~a	126.13247401923066
1(N14)	4(N14)	125.52861370128605
1(N14)	SAL	125.33830187241118
EN~a	ME~a	124.99636844581273
1(N14)	PAP~a	124.13204862974722
3(N01)	6(N01)	124.05415107674494
1(N01)	KUR~a	123.90067527059252
1(N01)	DUG~c	123.71068974008655
PAP~a	SAL	123.38821887796304
1(N34)	5(N01)	123.26399268257454
1(N57)	BAR	122.97257863148094
3(N57)	PAP~a	122.2017942841658
1(N01)	MUSZEN	121.79386628367082
1(N01)	KU3~a	121.16875155076903
2(N01)	DU	121.02490077092487
1(N57)	3(N01)	119.84477473517866
EN~a	SAG	119.82889635996482
EN~a	SI	119.56506059518165
2(N01)	SANGA~a	119.4065466929689
EN~a	PA~a	119.12656842702737
3(N01)	SAL	118.98874462088364
3(N01)	UDU~a	118.52719502997877
2(N14)	6(N01)	118.37801484978607
2(N01)	4(N14)	116.50265129827419
3(N01)	GI	116.39887700214885
GI	SZE~a	116.36611436555583
3(N01)	PAP~a	116.00165656511031
2(N01)	SI	115.04638552169432
EN~a	NAM2	114.95200842562195
2(N01)	8(N01)	114.69016529864645
EN~a	HI	114.52235588427678
2(N01)	SZU2	114.51299026618645
5(N01)	U4	114.47045811951718
1(N57)	EN~a	114.01126629434395
2(N01)	ME~a	113.21628153808088
AN	U4	113.07016353820978
2(N14)	4(N14)	113.00167510332106
5(N01)	6(N01)	112.39391734987552
1(N01)	8(N01)	111.92974106065594
4(N01)	6(N01)	111.13760737967657
AN	PAP~a	111.00938542563836
1(N01)	SU~a	110.9956186345421
2(N01)	NAM2	110.34848002620276
PAP~a	SZU	109.82250033481908
A	AN	108.71773318698585
1(N01)	4(N14)	108.2464020364284
5(N01)	SZE~a	108.122617662544
4(N01)	U4	107.94900948135368
DU	PAP~a	107.61917916209384
PAP~a	SZE~a	107.5268328649037
1(N01)	TAK4~a	107.05495682701695
1(N34)	3(N01)	106.99108528134234
BA	GI	106.9618689997577
BA	SZE~a	106.70776489196739
1(N34)	4(N14)	106.65613216380352
1(N34)	4(N01)	106.50906066079855
1(N01)	RU	106.45265853702979
AN	NUN~a	106.41552055303792
2(N01)	PA~a	105.8018376724747
1(N01)	DA~a	105.65687047996302
1(N01)	SUHUR	105.36540327110936
1(N01)	MASZ	105.20554860061296
1(N14)	E2~a	105.15815387543918
2(N01)	KI	104.67890908759348
AN	BU~a	104.60011748390852
2(N01)	SAG	104.58855163518871
3(N14)	SZE~a	104.02247689888368
3(N01)	SZU	102.96597331932142
1(N14)	9(N01)	102.90777934852765
2(N01)	KU6~a	102.87801308507434
3(N14)	EN~a	102.67528459055079
1(N14)	5(N14)	102.58825165825316
AN	SAL	102.49397315329834
AN	SZU	102.43143656959366
4(N14)	5(N01)	102.31454965292832
1(N01)	UD5~a	101.87904002651852
2(N01)	7(N01)	101.26309397020987
AN	MUSZ3~a	100.98691317449382
1(N57)	5(N01)	100.62967103604058
2(N01)	AB~a	100.29642636459712
PAP~a	U4	100.27662402124659
1(N01)	RAD~a	99.08726753016973
1(N01)	1(N24)	98.82694874629298
AB~a	EN~a	98.77583418795376
EN~a	SZU2	98.71010558934074
AN	SZE~a	98.55143061209607
1(N01)	DI	98.1954013763601
EN~a	TE	97.97937206722888
3(N01)	A	97.65393221729413
1(N14)	SZU	97.61112292399424
1(N14)	GAR	97.3516747907322
5(N01)	UDU~a	97.24457558452221
BU~a	SZE~a	96.81417650639506
3(N57)	U4	96.77610060609845
1(N14)	3(N57)	96.52567331857007
1(N01)	1(N08)	96.18914118736325
4(N01)	AN	95.62161906069532
AN	KI	95.20177097120737
A	BU~a	95.19352048039974
1(N01)	TUR3~a	94.91554264949714
1(N01)	DUG~a	94.65048708572438
GI	PAP~a	94.43684703415735
1(N14)	GAL~a	94.05249532199052
EN~a	IB~a	93.8342417090361
2(N01)	BAR	93.76291160671184
1(N57)	SAL	93.74269676534436
GAL~a	NAM2	93.72543644219479
3(N01)	NUN~a	93.66818416068679
2(N01)	NI~a	93.6671387741873
5(N01)	SAL	93.30365772658293
EN~a	TUR	93.21014803619141
1(N01)	APIN~a	93.07392779352733
1(N01)	ZATU753	92.85951704832694
AN	GI	92.66348881295389
3(N01)	BU~a	92.56992079798641
1(N01)	GA2~a1	92.4362581172968
3(N01)	7(N01)	92.33076761751072
3(N01)	3(N57)	92.31543115502546
1(N14)	A	92.04057604895283
2(N14)	BA	91.91563019181869
3(N01)	GAL~a	91.88884867187747
AN	E2~a	91.86139351866856
3(N57)	SAL	91.80103667007283
3(N57)	BU~a	91.66749401873375
5(N01)	AN	91.53651307507363
EN~a	KU6~a	91.31466327579344
BU~a	NAM2	91.30973248883681
3(N57)	E2~a	91.16991738917169
2(N01)	GAR	90.92835376286259
1(N01)	GU4	90.85661152292693
1(N01)	MA	90.68656880051937
1(N01)	KISAL~b1	90.59661886541205
4(N01)	BA	90.54214187954709
2(N14)	U4	90.32506030695562
2(N01)	TUR	90.32218243946377
1(N01)	UNUG~a	89.87957982501258
GI	U4	89.6795962474692
3(N01)	8(N01)	89.44193362739213
2(N01)	HI	89.2947478031014
1(N57)	2(N14)	89.26736054005923
1(N57)	4(N01)	89.20984446771978
NAM2	PAP~a	89.1000656785703
3(N01)	DU	89.09466717804379
3(N14)	4(N14)	88.90284482707924
2(N14)	SAL	88.57437334668661
3(N01)	4(N14)	88.4111927743225
1(N01)	URU~a1	88.04785730844516
1(N14)	SZU2	88.03570988395327
3(N01)	E2~a	87.90346512818518
1(N45)	SZE~a	87.75978384636625
AN	BA	87.67466490321982
1(N01)	SZA	87.49568562311264
2(N14)	UDU~a	87.48006167403233
BAR	U4	86.84108679810731
1(N01)	U2~b	86.81546265829002
3(N57)	SZE~a	86.67541581209444
SAL	U4	86.65182117027366
1(N01)	SUKKAL	86.62134559077269
A	SZE~a	86.60004920616122
AN	HI	86.48962380148262
2(N14)	7(N01)	86.18849732174989
1(N01)	ERIN	86.13484718430274
A	PAP~a	86.07135611523186
1(N14)	DU	85.80227735347445
5(N01)	8(N01)	85.47636262580302
1(N14)	SANGA~a	85.35164442440988
BU~a	E2~a	85.29401158675314
BU~a	SAL	85.22921791598289
5(N01)	PAP~a	85.00982311551813
5(N01)	BA	84.85241265878375
1(N14)	NUN~a	84.79801476394569
1(N14)	2(N34)	84.65523571157838
EN~a	SZUBUR	84.58723551622474
1(N57)	BA	84.35235519698105
GAL~a	SZITA~a1	84.31815163290892
AN	SI	84.20161067758949
3(N57)	AN	83.91937248094757
BU~a	DU	83.90918948536975
2(N01)	SZITA~a1	83.82390009990135
BA	U4	83.80771001679486
PA~a	SZE~a	83.76450299073171
AN	GAL~a	83.54452814992558
4(N01)	4(N14)	83.46702485765587
1(N01)	NAGA~a	83.32019683090827
1(N14)	BU~a	83.21020497917172
1(N01)	5(N14)	83.17647888187155
1(N01)	E2~b	83.04678618623079
SAL	SZE~a	82.96189718416588
1(N01)	SZE3	82.81227972326053
1(N01)	ERIM~a	82.6731762585924
4(N01)	GI	82.65462611649522
EN~a	UDU~a	82.64606079368029
SZE~a	SZU	82.12285748566393
4(N01)	UDU~a	82.00163377451877
BU~a	U4	81.90900283405446
E2~a	PAP~a	81.90352713016762
1(N01)	UB	81.75128953507551
NAM2	PA~a	81.74788445287766
1(N01)	PIRIG~b1	81.63361292590518
1(N14)	KU6~a	81.33011344202258
AN	DU	81.2813077641303
2(N14)	8(N01)	81.25864710608634
NI~a	RU	81.19636423982594
5(N01)	GI	81.12741555550552
4(N01)	8(N01)	80.99365199826427
4(N01)	PAP~a	80.82867009756596
3(N01)	BAR	80.75228407148863
3(N57)	SZU	80.70795715169609
SAL	SZU	79.90412877828858
A	GI	79.85638109485666
2(N14)	GI	79.57398452781504
2(N14)	AN	79.55610328132275
2(N01)	TUG2~a	79.15090376377125
2(N01)	NE~a	79.00364076727637
1(N14)	BAR	78.84385695642494
1(N01)	U8	78.84102345181282
1(N01)	AMAR	78.67695162381548
5(N14)	SZE~a	78.64170230666218
2(N14)	2(N34)	78.51464455444211
3(N14)	6(N01)	78.17934252876569
3(N01)	SANGA~a	78.17612012637915
GAL~a	NUN~a	78.17185514276403
BU~a	SZU	78.1224924815288
SAL	SANGA~a	77.88288127137469
1(N14)	KI	77.82287708731685
1(N34)	EN~a	77.79096569130516
EN~a	SZITA~a1	77.72919665407832
1(N14)	ME~a	77.38519366655622
E2~a	SAL	77.31322633453439
E2~a	U4	77.31225822598486
2(N14)	PAP~a	77.19683730519026
1(N14)	PA~a	77.16571234466953
1(N01)	GU7	77.11499927757097
PAP~a	SI	77.0754522190891
BU~a	GI	76.97261555714601
1(N01)	MASZ2	76.81581861412585
NUN~a	U4	76.72300284613492
5(N01)	7(N01)	76.69519850831887
SANGA~a	SZE~a	76.56988929385173
GI	SAL	76.56009429873338
2(N01)	DUG~a	76.47354897072073
E2~a	SZE~a	76.41906887747034
3(N01)	SI	76.39377771762155
4(N01)	SAL	76.33128669236864
KUR~a	SAL	76.30054469226947
AN	SANGA~a	76.09795735905392
DU	SZE~a	76.08447341845337
A	E2~a	76.03445765954665
2(N01)	TE	75.95075533173532
1(N01)	SIG2~b	75.92903360398661
GAL~a	SAL	75.7908100597945
NUN~a	SANGA~a	75.56466640624546
1(N01)	9(N01)	75.56372065419714
6(N01)	EN~a	75.55347243280053
GAL~a	SZE~a	75.46378131519035
1(N01)	2(N57)	75.29672214105416
2(N01)	5(N14)	75.24342888964759
1(N57)	PAP~a	75.21817305106059
AN	SAG	75.17852249446877
1(N01)	GI6	75.13056864212176
1(N34)	6(N01)	75.07489646929996
HI	NUN~a	74.92464664791699
GAL~a	SZU	74.90040186142706
AN	ME~a	74.61141193533436
4(N01)	7(N01)	74.60679564862683
A	U4	74.41378793964705
1(N34)	2(N34)	74.39548548009725
2(N01)	MASZ	74.3325336680969
1(N01)	KAB	74.30421740671784
BU~a	HI	74.25680265973917
PAP~a	SANGA~a	74.05359037560068
2(N01)	SZUBUR	73.91671862209252
2(N01)	RU	73.86008122833053
3(N57)	GI	73.70658454440346
E2~a	GI	73.67056267448085
3(N01)	SZU2	73.60215873755384
2(N01)	UD5~a	73.54813658083265
GA~a	ZATU753	73.16697089475942
A	SAL	73.0346260088886
1(N57)	SZE~a	73.01174817718082
NUN~a	PAP~a	72.89826983490872
2(N01)	MUSZEN	72.81972120931663
SI	SZE~a	72.60675277465982
3(N57)	DU	72.56994739058153
SZU	U4	72.47905472273291
1(N01)	NUNUZ~a1	72.44776466051388
1(N01)	1(N39~a)	72.24557844137124
EN~a	MUSZEN	72.14668756542216
AN	SZU2	72.13231976171356
3(N01)	PA~a	72.00073547160382
2(N01)	MUSZ3~a	71.93690576807329
A	DU	71.72918576071011
3(N01)	5(N14)	71.67990986864075
1(N01)	DUB~a	71.63687942534663
BU~a	NUN~a	71.63361224290442
2(N01)	9(N01)	71.41488048015458
HI	PAP~a	71.38286080718301
2(N01)	KUR~a	71.19282889623244
3(N01)	KI	71.17641554180526
5(N01)	GAL~a	70.95832513451754
BA	UDU~a	70.83062138883092
1(N14)	NAM2	70.76502050187034
3(N01)	ME~a	70.69219572609518
1(N14)	HI	70.6368460374096
3(N57)	SANGA~a	70.6350402964664
1(N01)	SILA3~a	70.62627414333257
5(N01)	E2~a	70.57905138250534
E2~a	SZU	70.47446080722254
BAR	SAL	70.42285384954685
2(N14)	5(N14)	70.35769431754429
GAL~a	ME~a	70.3474694028629
BU~a	GAL~a	70.23200719889435
GAL~a	GA~a	70.15677515876253
3(N01)	SAG	70.139822647526
1(N01)	1(N58)	70.09819204024004
1(N34)	5(N14)	70.08085532628951
4(N14)	SZE~a	69.90897103730502
1(N01)	GADA~a	69.82034249435868
AB~a	SZE~a	69.70834752529626
1(N57)	UDU~a	69.55223442771835
EN~a	NE~a	69.49065841009262
DU	SZU	69.08036923828256
1(N58)	BAD~a	69.06220795096255
1(N01)	UMUN2	69.06148879951323
U4	UDU~a	68.8825006244453
1(N01)	ZATU659	68.85388079726127
3(N57)	4(N01)	68.78997722654496
EN~a	RU	68.66645517963543
1(N57)	3(N57)	68.58784811049378
1(N24)	2(N01)	68.56178422344851
GI	SZU	68.55194983556852
BU~a	KI	68.50053618708904
E2~a	NUN~a	68.31893408599485
3(N01)	NAM2	68.2795432263021
EN~a	GA~a	68.26341052387534
DU	SAL	68.19004031628339
AB~a	AN	68.07774358591325
4(N01)	BU~a	68.07577876186939
BU~a	SANGA~a	67.96322534730795
1(N24)	1(N39~a)	67.70163271017532
KAB	NAM2	67.614550977673
3(N57)	A	67.51981306218485
NUN~a	SZE~a	67.464907618711
1(N14)	AB~a	67.33747512494054
EN~a	KISAL~b1	67.24287841070353
1(N57)	AN	67.23091501354642
AB~a	GAL~a	67.13447795799732
EN~a	RAD~a	67.13267637211884
6(N01)	8(N01)	67.08214269851956
DU	E2~a	67.07238404513316
BU~a	TUR	67.02097549030383
A	SZU	66.8892304185829
1(N34)	SZE~a	66.88084715399671
1(N14)	SI	66.78919860295635
GAL~a	U4	66.76698266361707
1(N01)	KASZ~c	66.64595958560857
1(N14)	SAG	66.56098058112624
1(N14)	UD5~a	66.38264344995521
3(N14)	5(N14)	66.37479131326674
BU~a	SI	66.27239507226695
5(N01)	BAR	66.21720797907646
1(N01)	MAR~a	66.19549770783807
E2~a	HI	66.10249803149983
PAP~a	PA~a	66.06782526623476
1(N14)	SUHUR	66.06525150907144
2(N01)	ZATU753	65.96888327114418
2(N14)	GAL~a	65.88794688071059
1(N24)	SZE~a	65.8570865790695
3(N14)	UDU~a	65.85456572731378
1(N01)	NAR	65.82921590523087
1(N01)	MU	65.5125903634434
1(N01)	GAN2	65.43106709341187
4(N14)	EN~a	65.2584140278684
DU	U4	65.13532932251573
2(N01)	GA~a	65.09284816549145
4(N01)	E2~a	64.94721809020612
EN~a	GISZ	64.89996810652639
3(N57)	5(N01)	64.82764610412158
1(N14)	U8	64.70051973219071
BU~a	ME~a	64.69865309945313
1(N01)	HI@g~a	64.6884137007494
KI	U4	64.63651988774019
SANGA~a	U4	64.61295485028853
2(N14)	E2~a	64.59813417999445
4(N01)	SZU	64.58215047443251
3(N01)	NI~a	64.48583230491104
1(N01)	UDUNITA~a	64.47057228993295
NAM2	RAD~a	64.46928215410261
1(N01)	1(N02)	64.31708444860219
2(N14)	NUN~a	64.22556104391293
1(N01)	AL	64.1918865091617
BAR	EN~a	64.18022599538457
3(N01)	KU6~a	64.15694848557192
5(N01)	NUN~a	64.1256468226839
1(N14)	1(N24)	63.92725020316986
1(N01)	NA~a	63.84750722059002
3(N01)	HI	63.80960239637587
1(N01)	NUN~b	63.787381476797165
AN	NAM2	63.76111396112273
2(N01)	AB2	63.686473107507425
2(N34)	3(N14)	63.60964880719543
GAL~a	TE	63.57257402303045
1(N01)	SIG7	63.56610840347748
GAL~a	PAP~a	63.52085346560748
2(N01)	IB~a	63.41822869057915
5(N01)	SZU	63.41111037546143
1(N57)	BU~a	63.38554592988325
3(N14)	8(N01)	63.36482806653906
PA~a	RAD~a	63.32907433071569
6(N01)	UDU~a	63.296437377755154
SI	U4	63.18183357478125
A	NUN~a	63.14696064156767
BA	PAP~a	63.08763085357699
HI	SAL	63.066460528607756
BA	SZU	62.96706714219083
2(N14)	GAR	62.9415490079841
HI	U4	62.9383181136974
2(N01)	DA~a	62.904848479077266
DU	KI	62.89605740330583
PAP~a	TUR	62.865728177354065
AB~a	GI	62.79219882465899
NE~a	SZE~a	62.762879868802145
AN	PA~a	62.71120194805441
ME~a	PAP~a	62.649586016698045
KI	SZE~a	62.62318146297862
GI	KI	62.49254803003771
1(N14)	DUG~a	62.455487384024224
1(N14)	MASZ	62.1855693419544
4(N01)	NUN~a	62.09630082634799
AN	SZUBUR	62.0037852972191
1(N57)	E2~a	61.967725291479255
1(N57)	SZUBUR	61.870030630522194
DU	GI	61.806265555565595
SAL	TUR	61.803017623952584
6(N01)	BA	61.57738007413967
KI	PAP~a	61.5680525230251
A	SI	61.44206591345458
SAG	SZE~a	61.299575988975306
AN	RU	61.23465490573762
BA	E2~a	61.219865012004824
E2~a	SANGA~a	61.20114920217324
3(N01)	TUR	61.196299952538226
2(N01)	GA2~a1	61.161537179857554
4(N01)	A	61.06129696724508
E2~a	GAL~a	61.05788393315847
DU	NUN~a	61.033175483291025
BU~a	PA~a	60.99317783202697
1(N01)	DIN	60.89702976328098
APIN~a	EN~a	60.89430101340419
1(N14)	TUR	60.89189731519535
ME~a	SZU	60.85817518398137
ME~a	SANGA~a	60.76737855423174
1(N01)	TI	60.757999864197004
EN~a	MUSZ3~a	60.65133959864825
2(N57)	U4	60.638835147737545
1(N01)	NIM~a	60.503808067661275
GI	NUN~a	60.415612208860985
PAP~a	SAG	60.24687393865487
KU6~a	SZE~a	60.190404740156865
1(N57)	3(N14)	60.183322021908175
GAL~a	PA~a	60.17037795634903
2(N01)	ERIM~a	60.166438579816806
AN	KU6~a	59.925406298429486
3(N14)	BA	59.891849607415956
DU	SANGA~a	59.822168859156584
NE~a	U4	59.783989179320926
1(N34)	1(N57)	59.6793136380519
AN	TAK4~a	59.64827585598936
SAG	SAL	59.618917487265286
3(N57)	SI	59.58566831271314
1(N14)	AB2	59.535019049832435
1(N57)	GI	59.50312084768307
NUN~a	SZU	59.390611127294285
KI	SAL	59.35510195135146
2(N01)	SU~a	59.301886684815464
MUSZEN	PAP~a	59.2752020415171
EN~a	GAN2	59.19724252829841
E2~a	KI	59.196051073303884
EN~a	NI~a	59.08139011247719
2(N01)	U8	59.07790834365845
ME~a	SZE~a	59.06742156853428
AN	MUSZEN	59.013145679680726
1(N57)	NAM2	58.90065969253277
5(N01)	ME~a	58.848872562704436
PA~a	SAL	58.79270172131351
3(N57)	PIRIG~b1	58.79260391921511
HI	SZE~a	58.7875304673189
AN	DA~a	58.74370745243685
3(N01)	AB~a	58.59513836732373
2(N14)	NAM2	58.566706177517354
1(N14)	UDUNITA~a	58.44829679824401
A	BA	58.32703379808544
5(N01)	5(N14)	58.32145039903838
SI	SZU	58.06931969852024
ME~a	SAL	58.05743060650868
3(N57)	HI	58.02335118141162
GI	SI	58.00101200004223
E2~a	SI	57.991501239429276
3(N01)	SZUBUR	57.94280626702351
EN~a	TUG2~a	57.93654968606376
ME~a	U4	57.9161291696294
2(N01)	DUG~c	57.82987812676102
3(N01)	TE	57.804454287879764
1(N57)	DUG~c	57.73104139997744
NAM2	SAL	57.689177807100464
DU	GAL~a	57.64375467699383
1(N08)	2(N01)	57.58606793024948
2(N14)	BU~a	57.5458593724263
E2~a	ME~a	57.52689362350842
NAM2	NUN~a	57.51232757243132
2(N01)	MA	57.390619506358874
AB~a	U4	57.30202341214667
4(N01)	DU	57.26219504557251
SANGA~a	SZU	57.15016231530151
1(N24)	2(N39~a)	57.045527861432056
3(N01)	MASZ	56.92365252777675
2(N01)	UNUG~a	56.89725483066876
HI	SZU	56.798915509468046
1(N14)	SZITA~a1	56.70445972975112
GI	HI	56.63986884174546
A	KI	56.639558391047785
2(N14)	A	56.57831570177862
SZE~a	TE	56.5707047301215
5(N01)	DU	56.527239959943294
GAL~a	GI	56.5226009301456
1(N14)	MASZ2	56.48303470652845
1(N14)	NE~a	56.44860810768469
1(N01)	NAMESZDA	56.424704188658254
1(N34)	UDU~a	56.4156694306949
2(N14)	PA~a	56.40361432764081
SZU	UDU~a	56.40139185669613
3(N57)	NUN~a	56.35136127914881
3(N01)	RU	56.29250157908532
2(N01)	GISZ	56.27768739326927
2(N01)	UDUNITA~a	56.254605110257764
4(N01)	5(N14)	56.17086986944052
AB~a	SANGA~a	56.16321622289667
3(N14)	PAP~a	55.96114232448474
3(N14)	U4	55.94420469888078
2(N01)	2(N57)	55.93834618551288
GI	NE~a	55.874700986820926
5(N01)	BU~a	55.87178608353512
U8	UD5~a	55.845275330236326
1(N01)	KASZ~b	55.81948198385648
3(N14)	GI	55.678923330872024
AN	NI~a	55.61918746594371
4(N01)	PA~a	55.58783490546477
3(N01)	NE~a	55.513177992809084
1(N01)	TUN3~a	55.47014640821415
4(N01)	SZU2	55.46938157394217
4(N01)	SANGA~a	55.414195662851206
1(N14)	1(N45)	55.39122569388498
5(N01)	A	55.35165163853924
EN~a	URU~a1	55.34243208396752
5(N01)	SZU2	55.319093761989265
3(N01)	UD5~a	55.31901547572364
GI	SAG	55.29805166840163
2(N01)	E2~b	55.27862158895417
1(N57)	HI	55.243864937216735
BA	SAL	55.21356535510845
2(N14)	SANGA~a	55.04323017366254
AN	MAR~a	55.00967236131407
2(N01)	RAD~a	54.93660182632169
EN~a	KUR~a	54.89509461230329
1(N57)	SZU	54.85785616690615
A	ME~a	54.83255997031298
1(N01)	2(N34)	54.81682866854263
BU~a	SZUBUR	54.79850564528634
1(N01)	ZI~a	54.721836387838025
BA	KI	54.71979443657174
1(N01)	GUG2	54.68745235386047
AB~a	ME~a	54.53870873713194
5(N14)	EN~a	54.52841641595793
AB~a	BU~a	54.5060220564394
2(N45)	SZE~a	54.45551909512866
GA~a	SANGA~a	54.43740315121359
1(N45)	2(N14)	54.4104076403899
2(N01)	KISAL~b1	54.3718872766639
A	SANGA~a	54.28978914689952
1(N39~a)	SZE~a	54.244770125919274
1(N57)	6(N01)	54.13072957391708
MASZ2	UD5~a	54.119398950778944
E2~a	SAG	54.10114354066266
DI	NAM2	54.07959653348951
2(N14)	3(N57)	54.04577057259152
3(N01)	SZITA~a1	54.012693641892454
ME~a	NUN~a	54.01079062744891
5(N01)	KU6~a	53.98096525293804
1(N01)	HASZHUR	53.95865386269591
EN~a	SU~a	53.9389057951779
1(N01)	ZATU737	53.874513260885486
1(N34)	8(N01)	53.86416554140871
3(N01)	9(N01)	53.80538111138283
1(N01)	SZA3~a1	53.785910708286345
