signI	signJ	{measureName}
1(N01)	2(N01)	778.7853982124861
1(N01)	1(N14)	554.201397015356
1(N01)	EN~a	550.5376004414205
1(N14)	2(N01)	508.6768509400391
1(N01)	3(N01)	473.24645521191115
2(N01)	3(N01)	406.17183237059396
1(N01)	AN	385.7035178321694
1(N01)	GAL~a	374.13764351021496
1(N14)	3(N01)	372.36434010971635
1(N14)	5(N01)	361.8413509316698
1(N01)	U4	346.34087806233305
1(N01)	SZE~a	340.2354540291973
1(N01)	5(N01)	329.64583156227314
2(N01)	EN~a	325.8149208791035
1(N01)	4(N01)	324.4595095304164
1(N14)	2(N14)	321.51256305006643
1(N14)	4(N01)	308.8721938401965
2(N01)	4(N01)	293.76749476714406
2(N01)	5(N01)	292.29291198743346
1(N01)	1(N57)	287.4817848150833
2(N01)	2(N14)	285.07501340570036
1(N01)	SAL	281.97494157870466
1(N01)	2(N14)	281.5988512128763
1(N01)	PAP~a	280.5715822678865
1(N01)	GI	273.717228074491
1(N01)	NUN~a	263.9713698947535
1(N01)	BU~a	263.70208888877085
1(N01)	SANGA~a	260.0494103579377
1(N14)	1(N34)	259.83204192564307
1(N01)	BA	254.0443354449314
2(N14)	3(N01)	238.8790311664197
1(N01)	SZU	238.71548548724755
1(N01)	E2~a	235.94434411967632
1(N01)	A	234.7401383597905
3(N01)	5(N01)	231.75665067963507
1(N14)	EN~a	231.5753700843127
1(N01)	NAM2	231.4234074682533
3(N01)	4(N01)	225.80393712398885
AN	EN~a	222.19111463899262
1(N01)	UDU~a	221.5716259559951
2(N01)	SZE~a	216.17969750421426
EN~a	PAP~a	214.6953815100948
1(N01)	3(N57)	213.65118820709665
2(N01)	U4	210.27645624844703
1(N14)	SZE~a	209.7104076327131
1(N14)	3(N14)	208.63133088615209
2(N14)	5(N01)	207.54567374887912
2(N01)	AN	207.1798300799117
3(N01)	EN~a	201.40382171321338
1(N01)	ME~a	199.73834506830187
1(N01)	DU	194.82273440431808
1(N14)	6(N01)	194.8155951415587
1(N01)	AB~a	193.4340313562124
1(N34)	2(N14)	192.60573201821268
1(N57)	U4	189.2293455143694
2(N14)	4(N01)	188.80362240579055
1(N01)	SAG	188.36609921992084
2(N01)	PAP~a	188.2056118603521
1(N01)	SI	186.17226670560473
EN~a	NUN~a	184.49484225058794
1(N57)	2(N01)	182.76545647900156
1(N01)	3(N14)	181.04986633108376
2(N01)	SAL	180.5946250704775
1(N01)	HI	180.0140869541618
3(N01)	SZE~a	177.80153354886633
DU	EN~a	176.81110998426456
1(N01)	KI	175.59170251672384
1(N01)	6(N01)	175.55357807747822
2(N14)	3(N14)	174.68836875899103
2(N01)	3(N14)	174.09056490485662
1(N01)	SZU2	172.51700626761152
1(N01)	1(N34)	172.18050568746045
2(N01)	BA	170.93293134535884
4(N01)	5(N01)	170.2926649824843
1(N01)	KU6~a	170.1328000472039
EN~a	SZE~a	170.07896935168515
1(N01)	PA~a	167.78981809555336
1(N01)	TUR	166.76967969105175
1(N14)	U4	165.54168185152463
1(N34)	2(N01)	164.21588864955055
1(N14)	UDU~a	163.1264946076651
2(N01)	UDU~a	163.10345705019648
1(N01)	NE~a	162.76604213170543
1(N01)	BAR	160.86564660187005
EN~a	SZU	158.0720738623024
2(N14)	SZE~a	157.31228694662886
2(N01)	GI	155.81427591155656
1(N34)	3(N14)	155.45870177896094
1(N01)	GA~a	155.22899463051107
5(N01)	EN~a	155.1254776317895
2(N01)	SZU	153.30249112312072
2(N01)	6(N01)	151.83959831389194
EN~a	U4	151.40845962269623
1(N01)	TE	150.2066439330963
NAM2	SZE~a	150.04977178616502
1(N01)	SZITA~a1	149.70039419135446
1(N14)	8(N01)	149.21531206496152
3(N01)	U4	148.81763884289148
3(N14)	5(N01)	147.08272201644098
1(N14)	BA	146.95511919953805
2(N14)	EN~a	145.19212703484155
1(N01)	AB2	145.07838119688287
EN~a	GAL~a	144.87790739750153
1(N14)	AN	144.66155729031456
2(N01)	E2~a	144.6594801083045
BU~a	EN~a	143.80736453864506
EN~a	SAL	143.6410403769588
BU~a	PAP~a	142.7588430767291
3(N57)	EN~a	142.7459140444194
1(N01)	NI~a	142.63270439450673
GAL~a	SANGA~a	141.9678358381282
2(N01)	BU~a	141.7482758982964
3(N01)	AN	141.63769044744635
1(N14)	1(N57)	139.77069553571158
EN~a	GI	138.82594943327913
2(N01)	3(N57)	138.65901725639497
1(N01)	SZUBUR	138.41347399076005
3(N01)	3(N14)	137.78373273057778
4(N01)	EN~a	137.5748072037125
1(N14)	GI	135.09036013166565
1(N14)	7(N01)	135.01438260685657
2(N01)	A	134.68507968130055
A	EN~a	134.6828842517056
1(N01)	GAR	133.52588951738642
1(N01)	DUG~b	133.0157681316906
1(N01)	IB~a	132.74334493530478
2(N01)	NUN~a	130.31090830390988
1(N01)	GISZ	130.13948458886725
1(N01)	7(N01)	129.61226281036238
1(N01)	TUG2~a	129.2607938444247
4(N01)	SZE~a	129.13438617670315
2(N01)	GAL~a	129.09597034175823
3(N14)	4(N01)	129.0913492370961
1(N01)	MUSZ3~a	129.00700817811438
E2~a	EN~a	128.98295396722034
3(N01)	BA	128.55653144199692
EN~a	SANGA~a	127.05641576037148
1(N14)	4(N14)	126.97579943093072
BA	EN~a	126.94664810477923
EN~a	KI	126.88858074464142
1(N14)	PAP~a	126.27851293291515
3(N01)	6(N01)	125.87854825582224
1(N01)	KUR~a	125.87360326129941
SZE~a	U4	125.66603548865208
1(N14)	SAL	125.64060606173105
1(N01)	DUG~c	125.3431302977495
EN~a	ME~a	124.69351270723838
1(N34)	5(N01)	124.4736111014423
PAP~a	SAL	123.96822666567381
3(N57)	PAP~a	123.0021630233382
2(N01)	DU	122.80672612870838
1(N01)	MUSZEN	122.49040091067309
1(N57)	BAR	122.31672216507168
1(N57)	3(N01)	122.23354782530492
1(N01)	KU3~a	122.21598832704657
2(N01)	SANGA~a	122.10396533588832
3(N01)	UDU~a	120.80997778507762
2(N14)	6(N01)	120.62032305251178
EN~a	PA~a	119.12023081847143
3(N01)	SAL	118.99848113507926
2(N01)	4(N14)	118.92670062211604
EN~a	SI	118.48064089415203
EN~a	SAG	117.99961303116521
3(N01)	PAP~a	117.84247203797473
3(N01)	GI	116.74950667744206
2(N01)	8(N01)	116.67866321237688
2(N01)	SZU2	116.25671369936317
2(N01)	SI	116.0989245215463
5(N01)	U4	115.31696206133273
2(N01)	ME~a	114.93977368767115
2(N14)	4(N14)	114.79760873036345
5(N01)	6(N01)	114.13100968809046
1(N01)	8(N01)	114.03875414997157
1(N57)	EN~a	114.03044279598582
EN~a	NAM2	113.62659021993657
GI	SZE~a	112.98923487090772
4(N01)	6(N01)	112.6584379544848
2(N01)	NAM2	112.55582649598033
1(N01)	SU~a	112.21554463681443
EN~a	HI	111.41077335218372
1(N01)	4(N14)	110.66458127110312
PAP~a	SZU	110.64680437574279
AN	PAP~a	110.63308654829787
AN	U4	110.1989997628832
5(N01)	SZE~a	109.09804774451361
4(N01)	U4	108.72647124342957
PAP~a	SZE~a	108.70136608365128
1(N34)	4(N14)	108.61165136696845
1(N01)	RU	108.47836749496936
2(N01)	PA~a	108.22312383396239
1(N34)	4(N01)	108.0781176897941
DU	PAP~a	107.94157809736481
1(N34)	3(N01)	107.80782072988404
1(N01)	TAK4~a	107.74554683430613
BA	SZE~a	106.52430760484293
1(N01)	DA~a	106.08536206626223
2(N01)	SAG	105.96261407898153
2(N01)	KI	105.81295960442029
1(N01)	MASZ	105.70709460328833
3(N14)	SZE~a	105.53287969213328
1(N14)	E2~a	105.42538482860961
1(N01)	SUHUR	105.35214249380131
BA	GI	105.03667786601306
AN	NUN~a	104.58444139925314
3(N14)	EN~a	104.53306932261793
A	AN	104.52659229367845
2(N01)	KU6~a	104.37993319812773
3(N01)	SZU	104.36073324229487
1(N14)	9(N01)	104.24060470658779
4(N14)	5(N01)	104.08718691495478
1(N14)	5(N14)	103.63196849139102
1(N57)	5(N01)	103.62692529291894
2(N01)	7(N01)	103.27172748784518
1(N01)	UD5~a	101.9553996244125
2(N01)	AB~a	101.85395594240586
AN	MUSZ3~a	101.65255408012773
AN	SAL	101.37124382921301
AN	SZU	101.27843071026503
AN	BU~a	100.7585689459484
1(N01)	RAD~a	100.57156465392843
EN~a	SZU2	100.19816871904514
1(N01)	1(N24)	100.06435755521824
PAP~a	U4	99.80417625833988
1(N14)	SZU	99.3266149148879
5(N01)	UDU~a	98.42919266750653
1(N01)	DI	98.33603711428911
AB~a	EN~a	97.94592795461725
3(N01)	A	97.31060599259811
1(N14)	3(N57)	97.14867284813425
3(N57)	U4	97.00729196873583
EN~a	TE	96.67419875607033
1(N01)	1(N08)	96.0958238946781
AN	SZE~a	96.09415775794872
2(N01)	BAR	96.04324423362132
1(N14)	GAR	96.00655679280605
1(N01)	DUG~a	95.87917587208668
4(N01)	AN	95.70371781444864
1(N01)	TUR3~a	95.56361129117876
2(N01)	NI~a	95.12839650783542
2(N14)	BA	95.08822837588639
3(N01)	NUN~a	95.0749672652803
1(N01)	ZATU753	94.99975144863859
1(N14)	GAL~a	94.85028941660748
1(N57)	SAL	93.97687215243944
5(N01)	SAL	93.88902414120624
3(N01)	7(N01)	93.82080396946779
1(N01)	APIN~a	93.64522450506176
3(N01)	3(N57)	93.62525467964478
BU~a	SZE~a	93.39940332259631
3(N57)	SAL	92.94319413916355
EN~a	IB~a	92.94235154830723
GI	PAP~a	92.92331672299316
3(N01)	BU~a	92.68904915471312
1(N01)	GA2~a1	92.58326318373942
5(N01)	AN	92.5034739967632
EN~a	TUR	92.41930803644723
1(N01)	UNUG~a	92.39168147457224
3(N01)	GAL~a	92.32080105492264
GAL~a	NAM2	92.18388221920551
2(N14)	U4	92.17040328669663
2(N01)	GAR	92.01018522077436
1(N57)	2(N14)	91.92294403709064
3(N57)	E2~a	91.8875871530616
1(N14)	A	91.84822092023147
1(N01)	MA	91.51700471676688
1(N01)	KISAL~b1	91.49659660400731
2(N01)	TUR	91.42954319192451
4(N01)	BA	91.30827197849811
1(N01)	GU4	91.19235540009232
1(N57)	4(N01)	91.17125483840144
AN	KI	91.14508742825508
BAR	U4	91.10199584122145
3(N57)	BU~a	90.98369882952741
3(N01)	8(N01)	90.8725471589639
A	BU~a	90.47256501610096
EN~a	KU6~a	90.45815007617115
3(N14)	4(N14)	90.34029606509371
2(N01)	HI	89.99339723663203
2(N14)	SAL	89.9532920236378
3(N01)	DU	89.81107156113166
NAM2	PAP~a	89.72738274016848
AN	GI	89.65419565469831
3(N01)	4(N14)	89.54191832663724
2(N14)	UDU~a	89.38297160160262
BU~a	NAM2	89.19349615117059
AN	E2~a	89.17675114119793
1(N45)	SZE~a	88.7682695889252
1(N01)	URU~a1	88.7669483203047
1(N14)	SZU2	88.1733775788581
3(N01)	E2~a	88.0916686989121
1(N01)	U2~b	87.52317428135956
1(N01)	SZA	87.50206030421404
1(N01)	SUKKAL	87.45252175955733
1(N14)	DU	87.2330262260043
1(N14)	SANGA~a	87.18936195613455
2(N14)	7(N01)	87.16640830279056
5(N01)	8(N01)	87.1600181598577
1(N01)	ERIN	86.98983609061905
AN	BA	86.799999573362
3(N57)	SZE~a	86.22733687546801
1(N14)	2(N34)	86.12077968988793
1(N14)	NUN~a	86.11311583495466
1(N01)	ERIM~a	86.06359079126362
5(N01)	PAP~a	86.02855862195871
A	PAP~a	86.01806758589574
1(N57)	BA	85.91616436482067
NI~a	RU	85.84081686458592
5(N01)	BA	85.39920112044743
4(N01)	4(N14)	84.78368350456147
SAL	U4	84.75007848754534
2(N01)	SZITA~a1	84.52831746621885
PA~a	SZE~a	84.37259457402358
1(N01)	E2~b	84.16692972270852
1(N01)	5(N14)	84.07455629923072
1(N01)	NAGA~a	84.05300736333487
A	SZE~a	84.03179157335171
GI	U4	83.65572733704055
BA	U4	83.50863706787729
BU~a	SAL	83.39947498058942
AN	HI	83.29266020392664
EN~a	UDU~a	83.1647797913716
4(N01)	UDU~a	83.08519829748484
1(N14)	BU~a	83.08222957037486
1(N01)	SZE3	83.02894510837383
EN~a	SZUBUR	82.98074869442448
3(N57)	AN	82.94817959508113
2(N14)	8(N01)	82.88485728597475
SAL	SZE~a	82.64554362170665
4(N01)	GI	82.63979781933763
1(N14)	KU6~a	82.50977945629707
3(N01)	BAR	82.38831688246152
1(N01)	PIRIG~b1	82.18086080177267
SZE~a	SZU	82.17501376517605
4(N01)	8(N01)	82.13345892214231
1(N14)	BAR	81.83839493870151
BU~a	E2~a	81.77235122785724
AN	GAL~a	81.74374203994942
4(N01)	PAP~a	81.71811593768513
BU~a	DU	81.3373405529197
1(N01)	UB	81.31184869642476
E2~a	PAP~a	81.24137074936692
5(N01)	GI	81.23809156985881
2(N14)	GI	81.06948394237648
NAM2	PA~a	81.0034953960524
GAL~a	SZITA~a1	80.96468750347242
3(N57)	SZU	80.3697901880155
2(N14)	AN	80.30157694396536
2(N14)	2(N34)	80.2165652618873
AN	DU	80.19805007508836
2(N01)	NE~a	80.17110726291902
2(N01)	TUG2~a	80.07035756249206
1(N01)	GU7	79.83903387597637
5(N14)	SZE~a	79.79516929545028
SAL	SZU	79.60333141958453
3(N14)	6(N01)	79.52522738289522
AN	SI	79.19512415555023
3(N01)	SANGA~a	79.12642760375469
1(N34)	EN~a	78.81212965746828
1(N01)	U8	78.77649633831066
1(N14)	PA~a	78.69582214928447
1(N14)	KI	78.54016172803559
1(N01)	AMAR	78.46326214514553
2(N14)	PAP~a	78.30637693286072
5(N01)	7(N01)	78.20634893489293
SAL	SANGA~a	78.14297776787048
1(N14)	ME~a	78.13314244737347
KUR~a	SAL	77.8626146735154
GA~a	ZATU753	77.83391135050333
3(N01)	SI	77.3880737872837
2(N01)	DUG~a	77.2137638332315
BU~a	U4	77.13165706177759
2(N01)	TE	77.05836608049482
6(N01)	EN~a	76.94452168695125
GAL~a	NUN~a	76.73064075015267
1(N01)	9(N01)	76.70684030626325
1(N01)	2(N57)	76.65813647913514
1(N01)	SIG2~b	76.50790621521105
4(N01)	SAL	76.50218164017657
EN~a	SZITA~a1	76.44760269189301
1(N01)	MASZ2	76.41716598513136
1(N34)	6(N01)	76.30484876296238
BU~a	SZU	76.29755264087268
PAP~a	SI	76.2431165034767
DU	SZE~a	75.93874825579776
SANGA~a	SZE~a	75.88653074744562
2(N01)	MASZ	75.84399038931554
2(N01)	5(N14)	75.67994070660546
E2~a	SAL	75.66846703049112
1(N01)	KAB	75.6077471835273
4(N01)	7(N01)	75.53023305336504
AN	SANGA~a	75.34098510544135
1(N01)	GI6	75.3222831194961
2(N01)	RU	75.16970295289481
2(N01)	UD5~a	75.0836025091002
1(N34)	2(N34)	75.04055246956655
2(N01)	SZUBUR	75.00666184407854
PAP~a	SANGA~a	74.96861001559955
A	GI	74.91887404572694
NUN~a	SANGA~a	74.71480076371316
GI	SAL	74.63110252580164
E2~a	SZE~a	74.55356124204894
3(N01)	SZU2	74.43014061049632
GAL~a	SAL	74.30841330534616
GAL~a	SZE~a	74.19964476857503
E2~a	U4	73.64838833713749
1(N57)	SZE~a	73.61662428339844
1(N57)	PAP~a	73.59816260216502
2(N01)	MUSZEN	73.53707833113695
1(N01)	NUNUZ~a1	73.51888076656853
2(N01)	9(N01)	73.28566991520738
2(N01)	MUSZ3~a	73.19540255882872
AN	SAG	73.1683988199238
3(N01)	PA~a	73.09582914310985
3(N57)	DU	72.80410582052913
1(N01)	1(N39~a)	72.78292023307318
NUN~a	U4	72.53834702352464
AN	ME~a	72.49409617347571
1(N01)	DUB~a	72.44354023609412
1(N01)	1(N58)	72.32783114701952
BU~a	GI	72.30710731760723
3(N57)	SANGA~a	72.26910074260279
3(N57)	GI	72.09498501356661
1(N58)	BAD~a	72.0
GAL~a	SZU	71.95125785809883
1(N57)	UDU~a	71.94037637616506
2(N01)	KUR~a	71.7972059980128
2(N14)	5(N14)	71.74439419950806
A	SAL	71.6531449993206
5(N01)	GAL~a	71.6171085645188
3(N01)	ME~a	71.5865071557047
3(N01)	5(N14)	71.50209466288106
1(N01)	SILA3~a	71.49495901895257
1(N14)	NAM2	71.48902756489021
A	E2~a	71.35534419729562
3(N01)	KI	71.31370556321981
1(N34)	5(N14)	71.2440539140992
4(N14)	SZE~a	71.17248572026669
NUN~a	PAP~a	70.99743828923319
1(N14)	HI	70.84268429200391
BAR	SAL	70.75720720966417
SZU	U4	70.67359309339064
AN	SZU2	70.66061246376107
EN~a	MUSZEN	70.62504959908046
BA	UDU~a	70.49047118088937
5(N01)	E2~a	70.48988486680358
3(N01)	SAG	70.46492727823308
1(N01)	GADA~a	70.37244628010949
A	DU	70.28464471719428
SI	SZE~a	70.22764669634851
HI	NUN~a	70.19222651782388
HI	PAP~a	70.04826030629775
1(N01)	ZATU659	69.87195341222242
3(N57)	4(N01)	69.7484127071652
3(N01)	NAM2	69.59463870036818
1(N24)	2(N01)	69.55341278581903
1(N01)	UMUN2	69.28341982221455
GAL~a	ME~a	69.18125387655938
E2~a	SZU	69.09331374011224
5(N01)	BAR	69.01697007426736
AB~a	SZE~a	69.01312311904944
A	U4	68.80415239903374
GAL~a	GA~a	68.73456960309943
4(N01)	BU~a	68.56084183063909
1(N14)	AB~a	68.49784198187764
U4	UDU~a	68.48433129894008
E2~a	GI	68.28931883845543
BU~a	HI	68.1915103278392
1(N57)	3(N57)	68.10164217207507
1(N01)	KASZ~c	68.07000847254635
1(N24)	1(N39~a)	68.05919807480863
6(N01)	8(N01)	68.03644979931195
1(N34)	SZE~a	67.95189557016457
EN~a	NE~a	67.93842365636067
DU	SAL	67.92169677446593
EN~a	RU	67.88459115416504
1(N14)	SI	67.66021432988799
2(N01)	ZATU753	67.48334582934197
EN~a	RAD~a	67.37927768007893
DU	SZU	67.36877085770871
BU~a	GAL~a	67.32071174324231
PAP~a	PA~a	67.07312592623519
EN~a	GA~a	67.07251535369176
1(N14)	SAG	66.85465919540414
AB~a	AN	66.82766222715247
2(N14)	GAL~a	66.82180952902007
1(N01)	MAR~a	66.71107709396969
1(N24)	SZE~a	66.60729860636351
3(N14)	UDU~a	66.37951795837697
BU~a	SANGA~a	66.34524196814615
3(N14)	5(N14)	66.28842960253317
BU~a	KI	66.27374695806932
4(N14)	EN~a	66.23091056659203
EN~a	KISAL~b1	66.19015570027813
GI	SZU	66.14327414972911
KAB	NAM2	66.14079578390819
1(N14)	UD5~a	66.13540347742837
E2~a	NUN~a	66.12693975362788
1(N01)	MU	66.01957530107912
