signI	signJ	{measureName}
1(N01)	2(N01)	794.7740946830813
1(N01)	1(N14)	641.2382954195476
1(N01)	EN~a	573.553086227807
1(N14)	2(N01)	572.3894084618147
1(N01)	3(N01)	507.9899009298385
2(N01)	3(N01)	439.41312504069145
1(N01)	N	434.0561311227753
1(N14)	3(N01)	413.32494500720424
1(N01)	AN	402.56334673933554
1(N01)	GAL~a	387.33644512740943
1(N14)	5(N01)	383.52708242049357
1(N01)	4(N01)	373.1742241105341
1(N01)	5(N01)	370.1733043792698
1(N14)	2(N14)	364.1512091118399
2(N01)	EN~a	355.88057113353574
1(N01)	SZE~a	352.99057661723066
1(N01)	2(N14)	351.4804896964063
1(N01)	U4	349.05020375858436
2(N01)	2(N14)	343.82465482666527
1(N14)	4(N01)	341.3980947941189
2(N01)	4(N01)	335.39479917332073
2(N01)	5(N01)	324.91214066219743
1(N14)	EN~a	299.5389125527712
1(N01)	PAP~a	298.80752214308654
1(N14)	1(N34)	297.68593889473095
1(N01)	SAL	292.8060409550264
1(N01)	NUN~a	289.62218805384407
1(N01)	GI	286.10055074973474
1(N01)	BA	284.8230570150339
2(N14)	3(N01)	281.25423252526423
1(N01)	SANGA~a	279.4681728690488
1(N01)	1(N57)	278.6427301106757
1(N01)	BU~a	277.9656663104207
1(N01)	SZU	262.6311227221942
3(N01)	5(N01)	259.85587653137276
3(N01)	4(N01)	254.4940053497492
1(N01)	1(N34)	254.23106305832107
1(N01)	A	250.61249517846122
1(N01)	NAM2	245.90283184338304
1(N14)	3(N14)	244.07647304540384
1(N01)	UDU~a	243.7847705557262
3(N01)	EN~a	241.42861849227856
1(N14)	SZE~a	241.30360803596562
1(N01)	E2~a	240.3600144949067
AN	EN~a	234.5476990851733
2(N01)	SZE~a	232.3569839114336
2(N14)	5(N01)	231.5154615722319
1(N34)	2(N14)	226.72696532087645
1(N01)	3(N14)	226.37041476458995
1(N01)	3(N57)	225.47087392090313
2(N01)	AN	223.63714420131845
2(N01)	U4	223.09550829173565
2(N14)	4(N01)	222.48954848147483
EN~a	PAP~a	218.97810539166255
1(N01)	6(N01)	214.89087850259057
1(N01)	DU	212.2070671304459
2(N01)	3(N14)	209.9298736621518
1(N34)	2(N01)	209.1580028726897
1(N14)	6(N01)	208.2011873123642
1(N01)	ME~a	205.39652865946894
1(N01)	AB~a	205.378328251451
2(N14)	3(N14)	205.3001323812427
2(N01)	BA	205.22232414561805
2(N01)	PAP~a	202.83930472771416
1(N01)	SAG	201.08620510635512
1(N14)	U4	199.40683278807103
