signI	signJ	{measureName}
1(N01)	2(N01)	802.5253991733499
1(N01)	1(N14)	648.9403601129687
1(N01)	EN~a	579.6873836510517
1(N14)	2(N01)	579.050542890264
1(N01)	3(N01)	514.3862257418109
2(N01)	3(N01)	444.38916655669607
1(N01)	N	437.9059796123306
1(N14)	3(N01)	418.3303805519727
1(N01)	AN	405.7500524188396
1(N01)	GAL~a	389.52782488372145
1(N14)	5(N01)	387.37472068171775
1(N01)	4(N01)	377.54850062718845
1(N01)	5(N01)	374.6093824433099
1(N14)	2(N14)	368.4192121030513
2(N01)	EN~a	359.6369812646875
1(N01)	SZE~a	356.4118796486245
1(N01)	2(N14)	355.06366278400003
1(N01)	U4	353.77412905263685
2(N01)	2(N14)	347.3352065096288
1(N14)	4(N01)	344.82020799169993
2(N01)	4(N01)	338.3931055335048
2(N01)	5(N01)	328.2891931028889
1(N14)	EN~a	304.436528038811
1(N01)	PAP~a	302.0115960910133
1(N14)	1(N34)	301.5213840564035
1(N01)	SAL	296.68769909763415
1(N01)	NUN~a	292.17460744816265
1(N01)	BA	288.55227901561983
1(N01)	GI	288.460777085762
2(N14)	3(N01)	283.07177851701033
1(N01)	1(N57)	282.3771171865197
1(N01)	SANGA~a	281.72587255876795
1(N01)	BU~a	280.38195226085446
1(N01)	SZU	264.4985640160509
3(N01)	5(N01)	262.71354150023507
1(N01)	1(N34)	257.42642290554926
3(N01)	4(N01)	257.4223458912096
1(N01)	A	253.94114329065812
1(N01)	NAM2	247.9001380228413
1(N14)	3(N14)	247.73457144307866
1(N01)	UDU~a	246.40917934382975
1(N14)	SZE~a	244.42918754808264
3(N01)	EN~a	244.29815309604803
1(N01)	E2~a	243.07681699881374
AN	EN~a	239.84316806179518
2(N01)	SZE~a	233.8381366000858
2(N14)	5(N01)	233.677068610359
1(N01)	3(N14)	229.4374835178488
1(N34)	2(N14)	228.88801755642535
1(N01)	3(N57)	227.716320294867
2(N01)	U4	226.49826727842844
2(N01)	AN	224.93972316856755
2(N14)	4(N01)	223.9152961102633
EN~a	PAP~a	220.81922420554002
1(N01)	6(N01)	217.07994885246998
1(N01)	DU	213.68373773123716
2(N01)	3(N14)	212.92059378283665
1(N34)	2(N01)	211.34285022591536
1(N14)	6(N01)	209.57335817651776
2(N01)	BA	207.7894826706768
2(N14)	3(N14)	207.3427446730629
1(N01)	ME~a	206.6536109450463
1(N01)	AB~a	206.38708144220143
1(N14)	U4	204.68880466957734
2(N01)	PAP~a	204.47655538593813
1(N01)	SAG	203.39865548687362
EN~a	NUN~a	202.27989636023963
4(N01)	5(N01)	199.72246812338634
2(N01)	SAL	199.45922580926555
2(N14)	EN~a	195.99977262318538
2(N01)	UDU~a	195.8421661993715
1(N57)	2(N01)	195.00499318553955
5(N01)	EN~a	192.16828503768022
1(N14)	BA	191.9699855320795
EN~a	SZE~a	191.96292728023445
1(N01)	KI	190.22368236698685
2(N01)	6(N01)	190.07963819397875
3(N01)	SZE~a	189.52995957951916
1(N01)	HI	187.8973642752721
1(N01)	SI	186.9854427859787
1(N01)	PA~a	186.09183562334073
1(N14)	AN	185.64217111110156
DU	EN~a	185.35282506933802
1(N14)	UDU~a	184.75881831042415
1(N01)	KU6~a	182.57444133451858
2(N14)	SZE~a	180.72047672482924
EN~a	SZU	178.80658276402863
4(N01)	EN~a	176.68042664522252
1(N14)	GI	176.59566758870494
EN~a	U4	175.3279944171546
1(N01)	TUR	175.14866309926316
1(N01)	SZU2	174.72759685386472
2(N01)	SZU	173.7995743187809
2(N01)	GI	173.48007782511232
1(N34)	3(N14)	173.13631927175908
3(N01)	U4	171.57678517023254
3(N01)	3(N14)	170.71124483992924
EN~a	GAL~a	170.44570517398407
1(N14)	1(N57)	168.30372065148856
1(N57)	U4	167.31370385185411
1(N14)	PAP~a	166.620201239643
1(N01)	GA~a	166.60532990109908
3(N14)	5(N01)	166.5900205835824
3(N01)	AN	165.53748348277142
1(N01)	NE~a	163.5114657433355
1(N01)	TE	162.1055356405623
1(N01)	BAR	161.79510246080451
1(N01)	7(N01)	160.8913607395644
1(N14)	8(N01)	160.76562171147182
2(N01)	BU~a	159.381858045868
1(N14)	SAL	158.83654547884933
EN~a	SAL	158.39501492956407
1(N34)	5(N01)	158.1788828499311
EN~a	GI	158.01410769645295
BU~a	EN~a	157.84848171107717
1(N14)	4(N14)	157.45453246016618
2(N01)	E2~a	157.34741240683118
2(N01)	A	156.22501916613655
1(N14)	7(N01)	155.94645771338918
A	EN~a	155.6367601214807
