sign1	sign2	closeness
1(N01)	2(N01)	 794.77
1(N01)	1(N14)	 641.24
1(N01)	EN~a	 573.55
1(N14)	2(N01)	 572.39
1(N01)	3(N01)	 507.99
2(N01)	3(N01)	 439.41
1(N01)	N	 434.06
1(N14)	3(N01)	 413.32
1(N01)	AN	 402.56
1(N01)	GAL~a	 387.34
1(N14)	5(N01)	 383.53
1(N01)	4(N01)	 373.17
1(N01)	5(N01)	 370.17
1(N14)	2(N14)	 364.15
2(N01)	EN~a	 355.88
1(N01)	SZE~a	 352.99
1(N01)	2(N14)	 351.48
1(N01)	U4	 349.05
2(N01)	2(N14)	 343.82
1(N14)	4(N01)	 341.40
2(N01)	4(N01)	 335.39
2(N01)	5(N01)	 324.91
1(N14)	EN~a	 299.54
1(N01)	PAP~a	 298.81
1(N14)	1(N34)	 297.69
1(N01)	SAL	 292.81
1(N01)	NUN~a	 289.62
1(N01)	GI	 286.10
1(N01)	BA	 284.82
2(N14)	3(N01)	 281.25
1(N01)	SANGA~a	 279.47
1(N01)	1(N57)	 278.64
1(N01)	BU~a	 277.97
1(N01)	SZU	 262.63
3(N01)	5(N01)	 259.86
3(N01)	4(N01)	 254.49
1(N01)	1(N34)	 254.23
1(N01)	A	 250.61
1(N01)	NAM2	 245.90
1(N14)	3(N14)	 244.08
1(N01)	UDU~a	 243.78
3(N01)	EN~a	 241.43
1(N14)	SZE~a	 241.30
1(N01)	E2~a	 240.36
AN	EN~a	 234.55
2(N01)	SZE~a	 232.36
2(N14)	5(N01)	 231.52
1(N34)	2(N14)	 226.73
1(N01)	3(N14)	 226.37
1(N01)	3(N57)	 225.47
2(N01)	AN	 223.64
2(N01)	U4	 223.10
2(N14)	4(N01)	 222.49
EN~a	PAP~a	 218.98
1(N01)	6(N01)	 214.89
1(N01)	DU	 212.21
2(N01)	3(N14)	 209.93
1(N34)	2(N01)	 209.16
1(N14)	6(N01)	 208.20
1(N01)	ME~a	 205.40
1(N01)	AB~a	 205.38
2(N14)	3(N14)	 205.30
2(N01)	BA	 205.22
2(N01)	PAP~a	 202.84
1(N01)	SAG	 201.09
1(N14)	U4	 199.41
2(N01)	SAL	 197.87
4(N01)	5(N01)	 196.83
EN~a	NUN~a	 194.61
2(N14)	EN~a	 194.00
2(N01)	UDU~a	 193.13
1(N57)	2(N01)	 192.16
1(N14)	BA	 189.55
5(N01)	EN~a	 189.50
2(N01)	6(N01)	 188.13
3(N01)	SZE~a	 187.71
1(N01)	KI	 187.63
1(N01)	HI	 186.87
1(N01)	SI	 186.05
EN~a	SZE~a	 185.45
1(N01)	PA~a	 184.55
DU	EN~a	 183.27
1(N14)	AN	 183.11
1(N14)	UDU~a	 182.86
1(N01)	KU6~a	 181.25
2(N14)	SZE~a	 179.50
EN~a	SZU	 175.70
4(N01)	EN~a	 174.43
1(N01)	TUR	 174.17
1(N14)	GI	 173.47
1(N01)	SZU2	 173.44
2(N01)	GI	 172.61
2(N01)	SZU	 172.24
1(N34)	3(N14)	 171.93
EN~a	U4	 169.45
3(N01)	3(N14)	 168.51
3(N01)	U4	 167.92
EN~a	GAL~a	 166.31
1(N01)	GA~a	 165.63
3(N14)	5(N01)	 165.58
1(N14)	1(N57)	 165.01
1(N14)	PAP~a	 164.98
3(N01)	AN	 163.54
1(N01)	NE~a	 161.67
1(N01)	TE	 160.88
1(N01)	BAR	 160.64
1(N14)	8(N01)	 159.73
1(N01)	7(N01)	 159.44
1(N57)	U4	 159.32
2(N01)	BU~a	 157.39
1(N14)	4(N14)	 156.41
2(N01)	E2~a	 156.04
1(N14)	SAL	 155.85
1(N34)	5(N01)	 155.84
EN~a	SAL	 155.79
1(N14)	7(N01)	 154.79
2(N01)	A	 154.25
1(N01)	SZITA~a1	 153.71
EN~a	GI	 152.95
BU~a	EN~a	 152.59
1(N34)	3(N01)	 152.06
3(N57)	EN~a	 151.59
2(N01)	3(N57)	 151.38
1(N01)	NI~a	 151.24
3(N01)	BA	 151.19
2(N01)	NUN~a	 150.99
3(N01)	6(N01)	 150.66
A	EN~a	 150.27
2(N01)	SANGA~a	 147.90
GAL~a	SANGA~a	 147.86
3(N14)	4(N01)	 147.13
1(N01)	4(N14)	 146.48
1(N01)	AB2	 146.34
BA	EN~a	 146.09
1(N01)	SZUBUR	 145.99
NAM2	SZE~a	 144.94
EN~a	SANGA~a	 144.22
1(N01)	GAR	 143.78
2(N01)	DU	 143.18
1(N01)	8(N01)	 143.02
2(N01)	GAL~a	 142.62
2(N14)	6(N01)	 142.46
BU~a	PAP~a	 142.26
2(N01)	4(N14)	 142.03
3(N01)	UDU~a	 141.02
2(N14)	4(N14)	 139.71
3(N01)	PAP~a	 139.05
3(N01)	SAL	 139.02
1(N34)	4(N01)	 138.27
EN~a	KI	 138.01
4(N01)	SZE~a	 137.87
