sign1	sign2	closeness
3(N14)	SANGA~a	3946.86
1(N14)	3(N14)	1691.75
1(N14)	SUHUR	1658.29
3(N14)	SUHUR	1574.87
1(N01)	DUG~b	1371.65
1(N01)	SUHUR	1368.98
1(N01)	1(N14)	1336.39
1(N57)	DUG~b	1309.85
1(N01)	1(N57)	1281.73
DUG~b	SUHUR	1280.59
1(N01)	3(N14)	1270.95
1(N14)	DUG~b	1250.23
1(N57)	SUHUR	1197.27
3(N14)	DUG~b	1189.53
1(N14)	1(N57)	1169.12
1(N57)	3(N14)	1112.83
1(N14)	SANGA~a	1060.48
SANGA~a	SUHUR	 990.93
1(N01)	SANGA~a	 814.83
1(N46)	2(N19)	 772.78
DUG~b	SANGA~a	 764.58
2(N19)	4(N41)	 736.66
1(N46)	4(N41)	 725.33
1(N57)	SANGA~a	 718.78
4(N41)	AB~a	 702.48
2(N19)	AB~a	 691.95
1(N46)	1(N57)	 682.80
1(N46)	AB~a	 681.43
AB~a	APIN~a	 670.23
1(N46)	DUG~b	 669.51
4(N41)	APIN~a	 660.45
1(N01)	1(N46)	 656.21
2(N19)	APIN~a	 650.68
1(N46)	APIN~a	 640.91
APIN~a	NUN~a	 638.94
1(N57)	2(N19)	 638.38
AB~a	NUN~a	 629.88
2(N19)	DUG~b	 626.17
4(N41)	NUN~a	 620.81
1(N46)	SUHUR	 616.34
1(N01)	2(N19)	 613.95
2(N19)	NUN~a	 611.75
1(N14)	1(N46)	 603.05
1(N46)	NUN~a	 602.69
1(N57)	4(N41)	 600.62
4(N41)	DUG~b	 589.28
1(N01)	4(N41)	 577.94
2(N19)	SUHUR	 577.29
1(N46)	3(N14)	 576.47
1(N57)	AB~a	 565.68
1(N14)	2(N19)	 565.07
AB~a	DUG~b	 555.15
1(N01)	AB~a	 544.83
4(N41)	SUHUR	 543.93
2(N19)	3(N14)	 540.64
NUN~a	SZE~a	 536.97
1(N57)	APIN~a	 533.40
1(N14)	4(N41)	 532.59
DU	SZE~a	 532.19
DU	NUN~a	 530.46
APIN~a	DUG~b	 523.63
1(N01)	APIN~a	 513.86
AB~a	SUHUR	 513.06
APIN~a	SZE~a	 510.51
3(N14)	4(N41)	 509.92
AB~a	SZE~a	 503.43
1(N57)	NUN~a	 503.01
1(N14)	AB~a	 502.54
4(N41)	SZE~a	 496.35
