skip	period	tablet	ln	line	msg	info
False	uruk-iii	P006080	71589	@column 1 	column: numbering: wrong order	1.a, 1.b.2, 1.b.1, 2, 3
False	uruk-iii	P006271	76184	@column 2 	column: numbering: wrong order	2.a, 2.b, 3, 1.a, 1.b
False	uruk-iii	P464196	58316	@column 1 	column: outside face => inserted "@noface"	@column 1
False	uruk-iv	P003936	17597	@column 1 	column: outside face => inserted "@noface"	@column 1
False	uruk-iii	P325238	47783	1.b2. SZE~a+NAM2 A 	quad: not surrounded by "|"s	"SZE~a+NAM2" in "SZE~a+NAM2"
False	uruk-iii	P464190	57752	2. , |U4+1(N08)| GI+A# 	quad: not surrounded by "|"s	"GI+A#" in "GI+A#"
False	uruk-iii	P006028	69856	3.a. 1(N01) , 	tweak	"3.a"  on line 69856 => "3.b"
False	uruk-iii	P252180	76027	4. UB URI3~a (|BAD+DISZ|)~a EN~a 	tweak	"|)~a" => "|)a"
False	uruk-iii	P006036	70080	2.b1. 2(N01)# , NUN~a# ZATU687 EN~a# EN~a#? TUR 	case: has sub-cases AND material	
False	uruk-iii	P006036	70083	2.b2. 4(N01)# , EN~a# X KI ZATU687# AN# 	case: has sub-cases AND material	
False	uruk-iii	P003529	89123	3.b. , BU3 TUR 	case: has sub-cases AND material	
