tablet	excavationNumbers
P000001	W 06435,a
P000002	W 06435,b
P000003	W 09123,d
P000004	W 09169,d
P000005	W 09206,k
P000006	W 09656,h1
P000007	W 09656,x
P000008	W 11985,e
P000009	W 11985,f
P000010	W 11985,g
P000011	W 11986,a
P000012	W 11986,c
P000013	W 11988,d
P000014	W 12139
P000015	W 12256,i + W 12256,k + W 12256,l + W 12256,o
P000019	W 13662,c1
P000020	W 13662,v1
P000021	W 13948
P000022	W 13982
P000023	W 14264
P000024	W 14335,c
P000025	W 14337,a + W 14337,b + W 14337,c + W 14337,d + W 14337,e
P000030	W 14497
P000031	W 14551,a + W 14551,b ?
P000033	W 14638
P000034	W 14731,x
P000035	W 14777,b
P000036	W 15085
P000037	W 15772,l
P000038	W 15773,c
P000039	W 15773,q
P000040	W 15773,t
P000041	W 15774,q
P000042	W 15774,w
P000043	W 15775,f + W 15775,ae
P000045	W 15775,af
P000046	W 15825,a7
P000047	W 15825,a8
P000048	W 15833,a07 + W 15833,08
P000050	W 15863,d
P000051	W 15892,a + W 15892,b
P000053	W 15892,c
P000054	W 15895,a
P000055	W 15895,b
P000056	W 15895,c
P000057	W 15895,d + W 15895,v
P000058	W 15895,e + W 15895,f
P000060	W 15895,g
P000061	W 15895,h
P000062	W 15895,i
P000063	W 15895,k
P000064	W 15895,l +
P000065	W 15895,m
P000066	W 15895,n
P000067	W 15895,o
P000068	W 15895,p + W 15895,aq
P000069	W 15895,q
P000070	W 15895,r
P000071	W 15895,s
P000072	W 15895,t
P000073	W 15895,u
P000075	W 15895,w
P000076	W 15895,y
P000077	W 15895,aa
P000078	W 15895,ab
P000079	W 15895,ac
P000080	W 15895,ad
P000081	W 15895,ae
P000082	W 15895,ah
P000083	W 15895,ai
P000084	W 15895,ak
P000085	W 15895,am
P000086	W 15895,an
P000087	W 15895,ao
P000088	W 15895,ap
P000090	W 15895,ar
P000091	W 15895,as
P000092	W 15895,at
P000093	W 15895,au
P000094	W 15895,av
P000095	W 15895,aw
P000096	W 15895,ax
P000097	W 15895,ay
P000098	W 15895,az + W 15895,br
P000099	W 15895,ba
P000100	W 15895,bb
P000101	W 15895,bc
P000102	W 15895,bd
P000103	W 15895,be
P000104	W 15895,bf
P000105	W 15895,bi
P000106	W 15895,bk
P000107	W 15895,bm
P000108	W 15895,bn
P000109	W 15895,bo
P000110	W 15895,bp
P000111	W 15895,bq
P000113	W 15895,bs
P000114	W 15895,bt
P000115	W 15895,bu
P000116	W 15895,bv + ?
P000117	W 15895,bw
P000118	W 15897,a04 + c28
P000120	W 15919,c
P000121	W 15920,a4
P000122	W 15920,b6
P000123	W 15957,a
P000124	W 15957,c
P000125	W 15957,e
P000126	W 15957,f
P000127	W 15958,b
P000128	W 15958,c
P000129	W 15958,d + W 15958,e
P000131	W 16621,a
P000132	W 16728,1
P000133	W 16728,2
P000134	W 16728,3
P000135	W 16728,4
P000136	W 16728,5
P000137	W 16728,6
P000138	W 16728,7
P000139	W 16728,8
P000140	W 16728,9
P000141	W 16728,10
P000142	W 16918,a
P000143	W 16918,b
P000144	W 16918,c
P000145	W 16918,d
P000146	W 16918,e
P000147	W 16918,f
P000148	W 16918,g
