tablet	shinP	shinPP	shinS
P000148	0	0	1
P000245	2	0	0
P000266	0	1	0
P000308	2	0	0
P000434	2	0	0
P000511	1	0	0
P000517	1	0	0
P000550	2	0	0
P000734	2	0	0
P000735	2	0	1
P000736	2	0	0
P000738	0	0	1
P000742	0	0	2
P000743	3	0	2
P000759	2	0	5
P000765	1	0	3
P000783	2	0	2
P000822	0	0	1
P000921	1	0	0
P000962	3	0	0
P001029	1	0	0
P001043	0	3	0
P001079	2	0	0
P001080	2	0	9
P001135	0	0	2
P001195	1	0	0
P001220	0	0	2
P001227	1	0	0
P001230	2	0	2
P001234	0	0	2
P001245	0	0	1
P001270	1	13	0
P001316	0	0	1
P001398	1	0	0
P001419	1	0	0
P001420	1	0	0
P001428	1	0	0
P001478	1	0	0
P001486	1	0	0
P001498	2	0	0
P001509	0	0	1
P001567	2	0	0
P001569	0	0	1
P001598	1	0	0
P001646	1	0	0
P001689	2	0	0
P001692	1	0	0
P001693	1	0	0
P001695	1	0	0
P001697	1	0	0
P001699	1	0	0
P001700	1	0	0
P001701	1	0	0
P001705	1	0	16
P001763	0	0	6
P001924	1	0	0
P002050	1	0	0
P002064	1	0	0
P002121	1	0	0
P002138	1	0	0
P002188	1	0	0
P002212	0	0	2
P002213	1	0	0
P002234	2	0	0
P002260	0	1	0
P002273	0	0	3
P002274	1	0	0
P002275	2	1	0
P002284	1	0	0
P002310	0	1	0
P002313	1	0	0
P002329	0	1	0
P002342	2	2	0
P002344	2	1	0
P002348	1	0	0
P002355	2	0	0
P002393	2	0	0
P002398	0	1	0
P002408	2	0	0
P002420	3	0	0
P002464	0	1	0
P002497	1	0	0
P002551	0	5	0
P002552	0	0	26
P002567	1	0	0
P002569	1	0	0
P002580	1	0	0
P002581	1	0	0
P002582	1	0	0
P002583	1	0	0
P002586	1	0	0
P002591	2	0	2
P002593	1	0	0
P002604	1	0	0
P002606	1	0	2
P002617	1	0	0
P002618	1	0	0
P002621	1	0	0
P002622	0	3	0
P002626	0	1	0
P002627	12	0	0
P002652	1	2	0
P002668	7	7	0
P002673	0	3	0
P002683	2	0	0
P002695	3	0	0
P002705	1	6	0
P002727	3	1	0
P002734	2	0	0
P002738	1	0	0
P002756	0	1	0
P002760	0	1	0
P002763	1	0	0
P002767	0	1	0
P002776	0	2	0
P002781	0	0	1
P002782	1	2	0
P002783	3	3	0
P002809	1	6	0
P002815	1	0	0
P002912	1	0	0
P003062	2	0	0
P003094	0	1	0
P003153	1	0	0
P003200	1	0	0
P003205	2	0	0
P003206	2	0	0
P003208	1	0	0
P003209	2	0	0
P003213	1	0	0
P003215	1	0	0
P003219	3	0	0
P003220	0	0	1
P003239	1	0	0
P003270	0	1	0
P003316	3	0	2
P003317	1	0	0
P003330	0	5	0
P003344	1	0	0
P003352	2	0	0
P003357	0	1	0
P003401	0	0	1
P003406	2	0	1
P003411	1	0	1
P003414	1	0	0
P003418	3	0	1
P003426	2	0	0
P003433	1	0	0
P003438	0	0	13
P003439	1	0	0
P003459	1	0	0
P003484	1	0	0
P003503	0	1	0
P003509	0	1	0
P003517	1	1	0
P003528	1	0	0
P003542	0	1	0
P003550	1	0	0
P003655	0	2	0
P003695	0	4	0
P003768	0	1	0
P003785	0	2	0
P003802	0	0	6
P003808	0	1	0
